seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,battery_x10,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,ip_visual_row,ip_ctrl_row,ip_ctrl_dir,ip_ctrl_score,ip_ctrl_reason,fast_ra_type,fast_front,fast_left,fast_right,line_takeover_ready,line_takeover_cnt,exit_boost_active,exit_boost_cnt,hard_outer_dynamic,yaw_pred,yaw_remain,outer_scale,takeover_valid_rows,takeover_error,takeover_lookahead,takeover_trend,box_top,box_bottom,box_left,box_right,pre_detail,turn_mark,hard_enter_ip,hard_enter_tick,pre_seen_frames
182,2528,316,1804,0,652,813,-42,-26,16,-966,673,800,1466,455,1466,-161,663,202,27,27,8342,1137,119,40,5,1,3,2,108,50,58,0,3,2,2,0,0,0,5,0,108,108,108,0,100,1,0,1,0,0,0,0,1,14,1089,690,109,100,40,-42,-26,16,11,47,0,60,7,0,78,290,2
183,2536,317,1804,0,672,833,-42,-26,16,-923,716,800,1506,442,1506,-161,649,193,28,28,8342,1137,119,40,5,1,3,2,108,50,58,0,3,2,2,0,0,0,5,0,108,108,108,0,100,1,0,1,0,0,0,0,1,14,1089,690,109,100,40,-42,-26,16,11,47,0,60,7,0,78,290,2
184,2544,318,1804,0,588,750,-52,-42,10,-879,760,800,1339,442,1339,-161,649,193,29,29,8375,1318,119,36,5,1,3,2,110,50,58,0,3,2,2,0,0,0,5,1,110,110,110,0,100,1,0,1,0,0,0,0,1,14,1089,690,109,100,36,-52,-42,10,11,47,0,60,7,0,78,290,2
185,2552,319,1804,0,387,548,-52,-42,10,-855,783,800,935,452,935,-161,636,187,30,30,8375,1318,119,36,5,1,3,2,110,50,58,0,3,2,2,0,0,0,5,0,110,110,110,0,100,1,0,1,0,0,0,0,1,14,1089,690,109,100,36,-52,-42,10,11,47,0,60,7,0,78,290,2
186,2560,320,1804,0,1400,-1400,-68,-22,46,-808,831,800,935,463,0,2800,626,184,31,31,5801,2242,119,8,0,0,4,2,110,50,58,2,3,2,2,0,0,0,5,0,96,96,106,0,100,1,0,0,0,0,0,0,1,14,1089,690,109,100,8,-68,-22,46,11,47,0,60,0,0,78,290,0
187,2568,321,1804,0,1400,-1400,-68,-22,46,-786,853,800,935,456,0,2800,622,181,32,31,5801,2242,119,8,0,0,4,2,110,50,58,2,3,2,2,0,0,0,5,0,96,96,106,0,100,1,0,0,0,0,0,0,1,14,1089,690,109,100,8,-68,-22,46,11,47,0,60,0,0,78,290,0
188,2576,322,1804,0,1400,-1366,0,0,0,-742,897,800,935,445,33,2766,622,178,33,31,3007,209,119,0,0,0,4,2,110,50,58,2,3,2,2,0,0,1,0,0,0,0,102,0,100,1,0,0,0,0,0,0,1,14,1089,690,109,100,0,0,0,0,0,0,0,0,0,0,78,290,0
189,2584,323,1804,0,1400,-1273,0,0,0,-702,937,800,935,418,126,2673,622,178,34,31,3007,209,119,0,0,0,4,2,110,50,58,2,3,2,2,0,0,1,0,0,0,0,102,0,100,1,0,0,0,0,0,0,1,14,1089,690,109,100,0,0,0,0,0,0,0,0,0,0,78,290,0
190,2592,324,1804,0,1400,-1218,0,0,0,-683,956,800,935,403,181,2618,618,171,35,31,3007,209,119,0,0,0,4,2,110,50,58,2,3,2,2,0,0,1,0,0,0,0,102,0,100,1,0,0,0,0,0,0,1,14,1089,690,109,100,0,0,0,0,0,0,0,0,0,0,78,290,0
191,2600,325,1804,0,1400,-1081,0,0,0,-649,989,800,935,364,318,2481,605,161,36,31,6418,255,119,0,0,0,4,2,110,50,58,2,3,2,2,0,0,1,0,0,0,0,98,0,100,1,0,0,0,0,0,0,1,14,1089,690,109,100,0,0,0,0,0,0,0,0,0,0,78,290,0
