seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail
366,4288,536,1500,1500,998,-684,-32,0,32,1109,453,900,1682,-369,314,1682,456,842,24,22,6157,2815,12,4,1,3,1,108,70,44,0,6,4,1,0,1,0,4,0,88,2,38,16,76,7
367,4296,537,1500,1500,983,-668,-48,0,48,1071,492,900,1651,-380,314,1651,452,839,25,23,7889,2815,16,4,1,3,1,108,70,44,0,6,4,1,0,1,0,4,0,88,2,38,16,76,7
368,4304,538,1500,1500,973,-658,-48,0,48,1031,531,900,1632,-386,314,1632,440,848,26,24,7889,2703,16,4,1,3,1,108,70,44,0,6,4,1,0,1,0,4,0,80,2,38,16,76,7
369,4312,539,1500,1500,984,-670,-48,0,48,1013,550,900,1655,-379,314,1655,444,840,27,25,7889,2703,16,4,1,3,1,108,70,44,0,6,4,1,0,1,0,4,0,80,2,38,16,76,7
370,4320,540,1500,1500,969,-654,-52,-20,32,973,590,900,1623,-389,314,1623,446,822,28,26,7293,1995,25,4,1,3,1,108,70,44,0,6,4,1,0,1,0,4,0,62,2,38,16,76,7
371,4328,541,1500,1500,970,-655,-52,-20,32,954,609,900,1626,-388,314,1626,446,822,29,27,7293,1995,25,4,1,3,1,108,70,44,0,6,4,1,0,1,0,4,0,62,2,38,16,76,7
372,4336,542,1500,1500,1063,-749,-50,-40,10,917,645,900,1813,-374,314,1813,440,805,30,28,7293,1995,47,4,1,3,1,108,70,44,0,6,4,1,0,1,0,4,0,62,2,38,16,76,7
373,4344,543,1500,1500,1088,-773,-50,-40,10,882,680,900,1861,-358,314,1861,427,804,31,29,8422,591,47,4,1,3,1,108,70,44,0,6,4,1,0,1,0,4,1,46,2,38,16,76,7
374,4352,544,1500,1500,1078,-763,-50,-40,10,863,699,900,1841,-365,314,1841,422,805,32,30,8422,591,47,4,1,3,1,108,70,44,0,6,4,1,0,1,0,4,0,46,2,38,16,76,7
375,4360,545,1500,1500,1065,-750,-44,-52,-8,825,737,900,1816,-374,314,1816,422,805,33,31,8344,493,48,4,1,3,1,108,70,44,0,6,4,1,0,1,0,4,1,38,2,38,16,76,7
376,4368,546,1500,1500,1039,-724,-44,-52,-8,804,758,900,1763,-392,314,1763,428,815,34,32,8344,493,48,4,1,3,1,108,70,44,0,6,4,1,0,1,0,4,0,38,2,38,16,76,7
377,4376,547,1500,1500,1015,-700,-44,-52,-8,762,801,900,1715,-408,314,1715,436,822,35,33,8344,493,48,4,1,3,1,108,70,44,0,6,4,1,0,1,0,4,0,38,2,38,16,76,7
378,4384,548,1500,1500,993,-678,-36,-42,-6,721,842,900,1671,-414,314,1671,441,815,36,34,8576,373,47,4,1,3,1,108,70,44,0,6,4,1,0,1,0,4,1,36,2,38,16,76,7
379,4392,549,1500,1500,880,-565,-36,-42,-6,700,863,900,1446,-416,314,1446,441,815,37,35,8576,373,47,4,1,3,1,108,70,44,0,6,4,1,0,1,0,4,0,36,2,38,16,76,7
380,4400,550,1500,1500,737,-98,-26,-30,-4,659,904,900,836,-412,639,836,441,815,38,36,8291,178,51,0,1,5,1,108,70,44,2,6,4,1,0,1,0,4,1,38,2,38,16,76,1
381,4408,551,1500,1500,737,-98,-26,-30,-4,639,923,900,836,-403,639,836,441,815,39,36,8291,178,51,0,0,5,1,108,70,44,2,6,4,1,0,1,0,4,0,38,2,38,16,76,0
382,4416,552,1500,1500,1350,-306,-24,-22,2,605,957,900,836,-362,1043,1656,429,812,40,36,7828,168,50,0,0,5,1,108,70,44,2,6,4,1,0,1,0,0,1,0,0,0,0,0,0
383,4424,553,1500,1500,1350,-306,-24,-22,2,578,985,900,836,-310,1043,1656,431,824,41,36,7828,168,50,0,0,5,1,108,70,44,2,6,4,1,0,1,0,0,1,0,0,0,0,0,0
