seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail
0,8,1,1209,1209,1040,-29,-20,-22,-2,2,0,0,0,0,1011,1070,0,-1,0,0,8164,112,44,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
1,16,2,1505,1505,1969,-57,-20,-22,-2,2,0,0,0,0,1911,2026,0,-1,0,0,8164,112,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5
2,24,3,1505,1505,1580,-70,-20,-22,-2,3,0,0,0,1,1510,1650,-1,-1,0,0,8164,112,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5
3,32,4,1505,1505,1580,-90,-20,-22,-2,3,0,0,0,4,1490,1670,-1,-1,0,0,9631,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
4,40,5,1505,1505,1580,-119,-20,-22,-2,4,0,0,0,11,1460,1700,0,0,0,0,8068,121,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
5,48,6,1505,1505,1578,-87,-20,-22,-2,5,0,0,0,3,1490,1665,5,4,0,0,9435,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
6,56,7,1505,1505,1570,-86,-20,-22,-2,4,0,0,0,1,1484,1656,19,20,0,0,9435,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
7,64,8,1505,1505,1561,-83,-20,-22,-2,4,0,0,0,0,1477,1644,39,38,0,0,9435,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
8,72,9,1505,1505,1561,-118,-20,-22,-2,6,0,0,0,8,1442,1679,39,38,0,0,8074,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
9,80,10,1505,1505,1547,-151,-20,-22,-2,8,0,0,0,18,1395,1699,66,65,0,0,8074,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
10,88,11,1505,1505,1534,-99,-20,-22,-2,7,0,0,0,6,1435,1633,91,92,0,0,9430,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
11,96,12,1505,1505,1534,-100,-20,-22,-2,7,0,0,0,4,1433,1635,91,92,0,0,9430,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
12,104,13,1505,1505,1534,-99,-20,-22,-2,8,0,0,0,3,1435,1633,91,92,0,0,9430,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
13,112,14,1505,1505,1534,-86,-20,-22,-2,7,0,0,0,0,1447,1621,91,92,0,0,8065,112,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
14,120,15,1505,1505,1496,-94,-20,-22,-2,8,0,0,0,0,1402,1591,169,165,0,0,8065,112,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
15,128,16,1505,1505,1485,-94,-20,-22,-2,8,0,0,0,0,1390,1579,192,189,0,0,9422,109,42,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
16,136,17,1505,1505,1472,-96,-20,-22,-2,8,0,0,0,1,1375,1569,218,213,0,0,9422,109,42,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
17,144,18,1505,1505,1472,-81,-20,-22,-2,8,0,0,0,-2,1390,1554,218,213,0,0,9422,109,42,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
18,152,19,1505,1505,1462,-82,-20,-24,-4,7,0,0,0,-4,1379,1545,238,233,0,0,8091,113,45,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
19,160,20,1505,1505,1451,-85,-20,-24,-4,7,0,0,0,-5,1366,1537,258,256,0,0,8091,113,45,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
20,168,21,1505,1505,1441,-78,-20,-24,-4,6,0,0,0,-7,1362,1519,278,278,0,0,9528,114,46,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
21,176,22,1505,1505,1431,-80,-20,-24,-4,5,0,0,0,-7,1351,1511,294,301,0,0,9528,114,46,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
22,184,23,1505,1505,1431,-100,-20,-24,-4,5,0,0,0,-2,1330,1532,294,301,0,0,9528,114,46,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
23,192,24,1505,1505,1422,-96,-20,-22,-2,6,0,0,0,0,1325,1518,309,324,0,0,8068,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
24,200,25,1505,1505,1411,-90,-20,-22,-2,5,0,0,0,-1,1321,1502,329,345,0,0,8068,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
25,208,26,1505,1505,1403,-81,-20,-22,-2,5,0,0,0,-3,1321,1484,349,360,0,0,9434,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
26,216,27,1505,1505,1403,-69,-20,-22,-2,4,0,0,0,-6,1333,1472,349,360,0,0,9434,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
27,224,28,1505,1505,1395,-75,-20,-22,-2,4,0,0,0,-5,1320,1470,366,373,0,0,9434,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
28,232,29,1505,1505,1388,-90,-20,-22,-2,4,0,0,0,-1,1298,1478,383,384,0,0,8082,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
29,240,30,1505,1505,1381,-87,-20,-22,-2,4,0,0,0,-1,1294,1468,393,401,0,0,8082,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
30,248,31,1505,1505,1377,-83,-20,-22,-2,4,0,0,0,-2,1293,1460,404,409,0,0,9451,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
31,256,32,1505,1505,1377,-84,-20,-22,-2,4,0,0,0,-2,1292,1461,404,409,0,0,9451,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
32,264,33,1505,1505,1372,-86,-20,-22,-2,3,0,0,0,-1,1286,1459,412,418,0,0,9451,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
33,272,34,1505,1505,1366,-62,-20,-22,-2,2,0,0,0,-8,1304,1428,425,429,0,0,8091,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
34,280,35,1505,1505,1361,-42,-20,-22,-2,1,0,0,0,-14,1318,1403,439,438,0,0,8091,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
35,288,36,1505,1505,1356,-16,-20,-22,-2,-1,0,0,0,-22,1339,1373,448,447,0,0,9450,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
36,296,37,1505,1505,1356,-1,-20,-22,-2,-3,0,0,0,-28,1355,1357,448,447,0,0,9450,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
37,304,38,1505,1505,1352,-16,-20,-22,-2,-5,0,0,0,-25,1336,1368,455,456,0,0,9450,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
38,312,39,1505,1505,1348,-33,-20,-22,-2,-7,0,0,0,-20,1314,1381,459,470,0,0,8063,113,45,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
39,320,40,1505,1505,1344,-48,-20,-22,-2,-7,0,0,0,-15,1296,1392,462,480,0,0,8063,113,45,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
40,328,41,1505,1505,1344,-68,-20,-22,-2,-8,0,0,0,-9,1276,1412,462,480,0,0,9413,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
41,336,42,1505,1505,1341,-66,-20,-22,-2,-8,0,0,0,-8,1274,1407,464,493,0,0,9413,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
42,344,43,1505,1505,1335,-60,-20,-22,-2,-9,0,0,0,-9,1274,1396,476,503,0,0,9413,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
43,352,44,1505,1505,1330,-45,-20,-20,0,-11,0,0,0,-12,1285,1375,489,510,0,0,8102,111,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
44,360,45,1505,1505,1327,-36,-20,-20,0,-12,0,0,0,-14,1290,1364,498,513,0,0,8102,111,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
45,368,46,1505,1505,1577,-59,-18,-20,-2,-12,0,0,0,-9,1518,1636,498,513,0,0,9431,113,45,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
46,376,47,1505,1505,1575,-86,-18,-20,-2,-12,0,0,0,-1,1488,1661,503,517,0,0,9431,113,45,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
47,384,48,1505,1505,1574,-99,-18,-20,-2,-11,0,0,0,4,1474,1673,505,520,0,0,9431,113,45,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
48,392,49,1505,1505,1573,-94,-18,-20,-2,-10,0,0,0,3,1479,1667,505,521,0,0,8066,113,45,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
49,400,50,1505,1505,1572,-114,-18,-20,-2,-9,0,0,0,9,1458,1686,513,518,0,0,8066,113,45,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
50,408,51,1505,1505,1572,-55,-18,-20,-2,-11,0,0,0,-5,1517,1627,513,518,0,0,9427,113,45,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
51,416,52,1505,1505,1571,-46,-18,-20,-2,-12,0,0,0,-10,1524,1618,520,515,0,0,9427,113,45,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
52,424,53,1505,1505,1569,-33,-18,-20,-2,-14,0,0,0,-14,1536,1602,521,522,0,0,9427,113,45,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
53,432,54,1505,1505,1567,-46,-18,-20,-2,-15,0,0,0,-12,1520,1613,524,529,0,0,8076,111,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
54,440,55,1505,1505,1567,-60,-18,-20,-2,-15,0,0,0,-8,1506,1627,524,529,0,0,8076,111,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
55,448,56,1505,1505,1563,-85,-18,-18,0,-14,0,0,0,1,1477,1649,524,543,0,0,9438,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
56,456,57,1505,1505,1558,-87,-18,-18,0,-13,0,0,0,4,1471,1645,533,554,0,0,9438,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
57,464,58,1505,1505,1553,-84,-18,-18,0,-13,0,0,0,4,1468,1637,544,564,0,0,9438,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
58,472,59,1505,1505,1548,-57,-18,-18,0,-14,0,0,0,-2,1490,1605,560,569,0,0,8093,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
59,480,60,1505,1505,1548,-47,-18,-18,0,-15,0,0,0,-6,1500,1595,560,569,0,0,8093,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
60,488,61,1505,1505,1546,-83,-18,-18,0,-14,0,0,0,2,1462,1629,568,569,0,0,9458,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
61,496,62,1505,1505,1541,-95,-18,-18,0,-13,0,0,0,7,1445,1636,576,581,0,0,9458,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
62,504,63,1505,1505,1538,-113,-18,-18,0,-11,0,0,0,13,1424,1652,583,585,0,0,9458,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
63,512,64,1505,1505,1535,-108,-18,-18,0,-10,0,0,0,13,1426,1643,591,589,0,0,8057,108,42,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
64,520,65,1505,1505,1535,-92,-18,-18,0,-10,0,0,0,8,1442,1627,591,589,0,0,8057,108,42,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
65,528,66,1505,1505,1531,-77,-18,-20,-2,-10,0,0,0,2,1454,1609,603,591,0,0,9428,112,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
66,536,67,1505,1505,1528,-80,-18,-20,-2,-10,0,0,0,0,1448,1608,610,597,0,0,9428,112,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
67,544,68,1505,1505,1524,-75,-18,-20,-2,-11,0,0,0,0,1449,1600,611,611,0,0,9428,112,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
68,552,69,1505,1505,1524,-66,-18,-20,-2,-11,0,0,0,-3,1457,1591,611,611,0,0,8072,111,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
69,560,70,1505,1505,1519,-79,-18,-20,-2,-11,0,0,0,0,1439,1598,619,626,0,0,8072,111,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
70,568,71,1505,1505,1513,-104,-18,-20,-2,-10,0,0,0,6,1409,1618,629,637,0,0,9420,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
71,576,72,1505,1505,1510,-100,-18,-20,-2,-9,0,0,0,6,1409,1610,636,644,0,0,9420,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
72,584,73,1505,1505,1507,-115,-18,-20,-2,-8,0,0,0,10,1392,1623,647,643,0,0,9420,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
73,592,74,1505,1505,1507,-75,-18,-20,-2,-9,0,0,0,0,1432,1582,647,643,0,0,8045,111,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
74,600,75,1505,1505,1505,-91,-18,-20,-2,-9,0,0,0,2,1414,1596,651,648,0,0,8045,111,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
75,608,76,1505,1505,1503,-71,-18,-20,-2,-9,0,0,0,-1,1431,1574,658,650,0,0,9402,112,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
76,616,77,1505,1505,1502,-69,-18,-20,-2,-9,0,0,0,-3,1433,1571,660,651,0,0,9402,112,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
77,624,78,1505,1505,1502,-77,-18,-20,-2,-10,0,0,0,-1,1425,1579,656,656,0,0,9402,112,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
78,632,79,1505,1505,1502,-138,-18,-20,-2,-7,0,0,0,14,1364,1640,656,656,0,0,8075,107,41,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
79,640,80,1505,1505,1501,-121,-18,-20,-2,-6,0,0,0,13,1379,1622,651,665,0,0,8075,107,41,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
80,648,81,1505,1505,1497,-84,-18,-20,-2,-6,0,0,0,3,1412,1581,660,673,0,0,9432,107,41,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
81,656,82,1505,1505,1493,-87,-18,-20,-2,-6,0,0,0,2,1406,1581,669,677,0,0,9432,107,41,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
82,664,83,1505,1505,1493,-78,-18,-20,-2,-7,0,0,0,0,1415,1572,669,677,0,0,9432,107,41,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
83,672,84,1505,1505,1492,-75,-18,-20,-2,-7,0,0,0,-1,1416,1568,671,679,0,0,8083,108,42,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
84,680,85,1505,1505,1491,-91,-18,-20,-2,-6,0,0,0,2,1399,1583,675,680,0,0,8083,108,42,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
85,688,86,1505,1505,1489,-85,-18,-18,0,-6,0,0,0,3,1403,1575,679,684,0,0,9441,109,42,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
86,696,87,1505,1505,1489,-87,-18,-18,0,-5,0,0,0,5,1401,1576,683,682,0,0,9441,109,42,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
87,704,88,1505,1505,1489,-91,-18,-18,0,-4,0,0,0,6,1397,1580,683,682,0,0,9441,109,42,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
88,712,89,1505,1505,1488,-81,-18,-18,0,-4,0,0,0,4,1406,1569,685,683,0,0,8029,107,41,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
89,720,90,1505,1505,1488,-82,-18,-18,0,-4,0,0,0,4,1406,1570,684,683,0,0,8029,107,41,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
90,728,91,1505,1505,1487,-84,-18,-18,0,-3,0,0,0,4,1402,1571,682,691,0,0,9437,107,41,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
91,736,92,1505,1505,1482,-108,-18,-18,0,-2,0,0,0,11,1374,1591,690,700,0,0,9437,107,41,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
92,744,93,1505,1505,1482,-102,-18,-18,0,-1,0,0,0,11,1380,1584,690,700,0,0,9437,107,41,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
93,752,94,1505,1505,1480,-57,-18,-18,0,-2,0,0,0,-1,1423,1537,698,701,0,0,8068,107,41,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
94,760,95,1505,1505,1480,-62,-18,-18,0,-2,0,0,0,-2,1417,1543,701,698,0,0,8068,107,41,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
95,768,96,1505,1505,1478,-98,-18,-20,-2,-1,0,0,0,5,1380,1576,704,703,0,0,9400,107,41,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
96,776,97,1505,1505,1478,-117,-18,-20,-2,0,0,0,0,11,1360,1596,704,703,0,0,9400,107,41,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
