seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail
340,4432,554,1890,1890,1801,39,8,6,-2,1617,0,0,0,21,1841,1762,881,850,0,0,8434,121,49,0,0,0,0,0,0,0,0,6,4,1,0,4,0,0,1,0,0,0,0,0,0
341,4456,557,1309,1767,689,-278,6,0,-6,1636,0,0,0,66,410,968,870,893,1,0,7992,1904,21,4,0,2,1,70,70,52,0,6,4,1,0,1,0,4,0,70,7,43,24,84,0
342,4464,558,1767,1767,2006,-192,6,0,-6,1637,0,0,0,49,1814,2198,887,894,2,0,7992,1904,21,4,0,2,1,70,70,52,0,6,4,1,0,1,0,4,0,70,7,43,24,84,0
343,4472,559,1767,1767,761,-597,2,0,-2,1636,0,800,1358,14,164,1358,905,881,3,1,6232,1667,16,4,0,3,1,80,70,52,0,6,4,1,0,1,0,4,0,80,7,43,24,84,0
344,4480,560,1767,1767,1740,-1412,2,0,-2,1632,4,800,3152,-20,328,3152,905,881,4,2,6232,1667,16,4,0,3,1,80,70,52,0,6,4,1,0,1,0,4,0,80,7,43,24,84,0
345,4488,561,1767,1767,1718,-1390,2,0,-2,1627,9,800,3109,-46,328,3109,905,881,5,3,6232,1667,16,4,0,3,1,80,70,52,0,6,4,1,0,1,0,4,0,80,7,43,24,84,0
346,4496,562,1767,1767,1598,-1270,0,0,0,1609,26,800,2868,-124,328,2868,905,881,6,4,6985,1904,9,4,0,3,1,94,70,52,0,6,4,1,0,1,0,4,1,94,7,43,24,84,0
347,4504,563,1767,1767,1528,-1199,0,0,0,1597,39,800,2727,-170,328,2727,888,869,7,5,6985,1904,9,4,0,3,1,94,70,52,0,6,4,1,0,1,0,4,0,94,7,43,24,84,0
348,4512,564,1767,1767,1413,-1085,-10,0,10,1567,68,800,2499,-244,328,2499,847,890,8,6,4993,1981,2,4,0,3,1,108,70,52,0,6,4,1,0,1,0,4,0,108,7,43,24,84,0
349,4520,565,1767,1767,1290,-962,-10,0,10,1529,106,800,2253,-324,328,2253,802,937,9,7,4993,1981,2,4,0,3,1,108,70,52,0,6,4,1,0,1,0,4,0,108,7,43,24,84,0
350,4528,566,1767,1767,1265,-937,-10,0,10,1511,125,800,2202,-340,328,2202,802,937,10,8,4993,1981,2,4,0,3,1,108,70,52,0,6,4,1,0,1,0,4,0,108,7,43,24,84,0
351,4536,567,1767,1767,1255,-890,6,20,14,1475,160,800,2145,-347,365,2145,768,962,11,9,9280,2685,45,4,1,3,1,108,70,52,0,6,4,1,0,1,0,4,0,108,7,43,24,84,2
352,4544,568,1767,1767,1254,-889,6,20,14,1458,177,800,2144,-347,365,2144,729,976,12,10,9280,2685,45,4,1,3,1,108,70,52,0,6,4,1,0,1,0,4,0,108,7,43,24,84,2
353,4552,569,1767,1767,1281,-953,0,0,0,1426,210,800,2235,-330,328,2235,698,978,13,11,4891,19,0,4,1,3,1,108,70,52,0,6,4,1,0,1,1,4,0,108,7,43,24,84,2
