seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail
0,32,4,1890,1890,2234,-55,2,2,0,10,0,0,0,18,2178,2290,0,0,0,0,8095,265,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
1,64,8,1890,1890,2219,-71,0,0,0,19,0,0,0,28,2148,2290,35,26,0,0,8162,123,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
2,96,12,1890,1890,2142,-74,0,0,0,28,0,0,0,28,2067,2216,197,173,0,0,9622,122,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
3,128,16,1890,1890,2085,-78,6,-2,-8,39,0,0,0,26,2006,2163,309,288,0,0,9882,121,51,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
4,160,20,1890,1890,2036,-109,2,-4,-6,48,0,0,0,33,1926,2146,406,386,0,0,8382,121,51,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
5,192,24,1890,1890,1995,-70,-4,-8,-4,54,0,0,0,17,1925,2065,487,468,0,0,8393,121,51,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
6,224,28,1890,1890,1960,-52,-8,-10,-2,55,0,0,0,8,1907,2012,560,538,0,0,8349,121,51,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
7,256,32,1890,1890,1919,-70,-10,-12,-2,62,0,0,0,14,1849,1990,628,631,0,0,9884,119,50,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
8,288,36,1890,1890,1901,-119,-14,-14,0,68,0,0,0,25,1782,2020,667,665,0,0,9995,117,48,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
9,320,40,1890,1890,1867,-95,-16,-16,0,74,0,0,0,15,1772,1963,744,723,0,0,8472,115,47,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
10,328,41,1856,1856,1806,-92,-16,-18,-2,75,0,0,0,11,1714,1898,744,723,0,0,9995,114,46,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
11,336,42,1856,1856,1821,-102,-16,-18,-2,76,0,0,0,12,1718,1924,763,745,0,0,9995,114,46,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
12,344,43,1856,1856,1794,-103,-20,-20,0,77,0,0,0,11,1690,1898,771,766,0,0,8500,113,45,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
13,352,44,1856,1856,1770,-89,-20,-20,0,77,0,0,0,7,1681,1860,781,777,0,0,8500,113,45,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
14,360,45,1856,1856,1750,-98,-20,-20,0,78,0,0,0,8,1652,1849,786,785,0,0,8500,113,45,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
15,368,46,1856,1856,1735,-59,-22,-20,2,77,0,0,0,-2,1675,1794,786,785,0,0,9984,112,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
16,376,47,1856,1856,1715,-53,-22,-20,2,76,0,0,0,-6,1662,1768,799,794,0,0,9984,112,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
17,384,48,1856,1856,1697,-46,-26,-22,4,75,0,0,0,-10,1651,1744,809,801,0,0,8485,109,42,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
18,392,49,1856,1856,1685,-46,-26,-22,4,74,0,0,0,-11,1639,1732,809,801,0,0,8485,109,42,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
19,400,50,1856,1856,1674,-57,-26,-22,4,73,0,0,0,-9,1616,1732,809,801,0,0,8485,109,42,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
20,408,51,1856,1856,1664,-58,-26,-22,4,72,0,0,0,-9,1606,1722,809,801,0,0,9938,111,41,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
21,416,52,1856,1856,1641,-34,-26,-22,4,71,0,0,0,-16,1606,1676,823,842,0,0,9938,111,41,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
22,424,53,1856,1856,1634,-43,-28,-24,4,69,0,0,0,-16,1591,1678,817,838,0,0,8256,103,38,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
23,432,54,1856,1856,1630,10,-28,-24,4,66,0,0,0,-24,1640,1619,811,831,0,0,8256,103,38,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
24,440,55,1856,1856,1622,-33,-28,-24,4,65,0,0,0,-23,1589,1656,811,831,0,0,8256,103,38,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
25,448,56,1856,1856,1617,-72,-30,-24,6,65,0,0,0,-12,1544,1690,810,827,0,0,9610,101,36,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
26,456,57,1856,1856,1613,-92,-30,-24,6,65,0,0,0,-6,1520,1706,806,822,0,0,9610,101,36,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
27,464,58,1856,1856,1607,-109,-32,-28,4,65,0,0,0,-4,1498,1716,805,824,0,0,7925,98,34,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
28,472,59,1856,1856,1600,-107,-32,-28,4,64,0,0,0,-5,1493,1707,809,825,0,0,7925,98,34,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
29,480,60,1856,1856,1596,-109,-34,-30,4,64,0,0,0,-7,1486,1705,809,825,0,0,9121,95,32,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
30,488,61,1856,1856,1590,-63,-34,-30,4,61,0,0,0,-19,1527,1654,809,828,0,0,9121,95,32,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
