seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,battery_x10,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail,turn_mark,hard_enter_ip,hard_enter_tick,pre_seen_frames
0,48,6,2552,2552,2925,-177,6,6,0,-22,0,0,0,42,2747,3102,10,7,0,0,3533,1077,120,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,96,12,2552,2552,2822,-149,0,0,0,9,0,0,0,26,2672,2971,252,178,0,0,7070,1064,120,45,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,144,18,2552,2552,2659,335,0,-2,-2,-4,0,0,0,-45,2994,2324,536,545,0,0,5698,901,120,44,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3,192,24,2552,2552,2515,-253,-2,-2,0,18,0,0,0,38,2261,2768,841,817,0,0,3522,1203,120,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
4,240,30,2552,2552,2439,-207,-4,-2,2,-3,0,0,0,16,2231,2646,967,994,0,0,3488,1058,120,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
5,288,36,2552,2552,2373,-389,-10,-10,0,31,0,0,0,10,1983,2763,1141,1082,0,0,3494,1059,120,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
6,336,42,2552,2552,2319,-184,-10,-6,4,-3,0,0,0,-36,2134,2504,1186,1254,0,0,3602,1146,120,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,384,48,2552,2552,2278,-39,-12,-8,4,-11,0,0,0,-57,2239,2318,1293,1310,0,0,5698,1000,120,49,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
8,432,54,2552,2552,2261,-573,-8,-4,4,-26,0,0,0,23,1687,2835,1293,1381,0,0,3672,1163,120,50,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,480,60,2552,2552,2243,-110,-6,-2,4,-49,0,0,0,-35,2133,2353,1354,1390,0,0,3638,942,120,46,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
10,528,66,2552,2552,2227,33,-4,0,4,-55,0,0,0,-33,2260,2194,1397,1411,0,0,3564,874,120,42,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
11,576,72,2552,2552,2219,6,-2,-4,-2,-57,0,0,0,-17,2225,2212,1413,1428,0,0,3579,796,120,35,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
12,584,73,2217,1893,1702,-54,-2,-4,-2,-58,0,0,0,-10,1648,1756,1417,1441,0,0,3579,876,120,35,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,1
13,592,74,1893,1893,1368,-83,-2,-4,-2,-58,0,0,0,-6,1285,1452,1417,1434,0,0,3579,876,120,35,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,2
14,600,75,1893,1893,1524,-323,0,-12,-12,-56,0,0,0,8,1201,1848,1417,1434,0,0,5748,628,120,30,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,3
15,608,76,1893,1893,1522,-332,0,-12,-12,-56,0,0,0,7,1189,1855,1424,1437,0,0,5748,628,120,30,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,4
16,616,77,1893,0,1114,-794,0,-12,-12,-58,0,900,1908,-15,320,1908,1424,1437,1,1,5748,628,120,30,1,0,3,1,70,50,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,70,77,4
17,624,78,1893,0,1114,-794,0,-14,-14,-64,5,900,1908,-39,320,1908,1428,1454,2,2,5451,2640,120,22,1,0,3,1,70,50,58,0,0,0,0,0,0,0,1,0,68,6,42,24,84,0,0,70,77,4
18,632,79,1893,0,1114,-794,0,-14,-14,-69,11,900,1908,-63,320,1908,1423,1442,3,3,5451,2640,120,22,1,0,3,1,70,50,58,0,0,0,0,0,0,0,1,0,68,6,42,24,84,0,0,70,77,4
19,640,80,1893,0,1114,-794,0,0,0,-86,27,900,1908,-122,320,1908,1410,1423,4,4,6373,2640,120,15,1,0,3,1,70,50,58,0,0,0,0,0,0,0,1,0,68,6,42,24,84,0,0,70,77,4
20,648,81,1893,0,1114,-794,0,0,0,-96,37,900,1908,-150,320,1908,1410,1423,5,5,6373,2939,120,15,4,0,3,1,82,50,58,0,0,0,0,0,0,0,4,0,82,13,49,26,86,0,2,70,77,4
21,656,82,1893,0,1114,-794,0,0,0,-117,58,900,1908,-186,320,1908,1390,1412,6,6,6373,2939,120,15,4,0,3,1,82,50,58,0,0,0,0,0,0,0,4,0,82,13,49,26,86,0,0,70,77,4
22,664,83,1893,0,1114,-794,-4,0,4,-139,80,900,1908,-206,320,1908,1339,1422,7,7,5308,2220,120,5,4,0,3,1,102,50,58,0,0,0,0,0,0,0,4,0,102,13,49,26,86,0,0,70,77,4
23,672,84,1893,0,1114,-794,-4,0,4,-152,93,900,1908,-222,320,1908,1263,1416,8,8,5308,2220,120,5,4,0,3,1,102,50,58,0,0,0,0,0,0,0,4,0,102,13,49,26,86,0,0,70,77,4
