seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail
0,32,4,2508,2508,2883,-51,4,4,0,0,0,0,0,18,2831,2935,0,0,0,0,9390,112,45,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
1,64,8,2508,2508,2856,-98,4,4,0,9,0,0,0,38,2758,2955,54,53,0,0,8011,111,44,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
2,72,9,2348,1505,2538,-120,2,2,0,14,0,0,0,45,2418,2658,118,106,0,0,9403,109,42,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
3,80,10,2188,1505,2338,-121,2,2,0,17,0,0,0,47,2216,2460,185,167,0,0,9403,109,42,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
4,88,11,2028,1505,2137,-136,0,0,0,22,0,0,0,51,2000,2273,256,229,0,0,7992,106,40,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
5,96,12,1868,1505,1935,-130,0,0,0,25,0,0,0,50,1804,2065,326,294,0,0,7992,106,40,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
6,104,13,1708,1505,1767,-100,0,0,0,28,0,0,0,40,1667,1867,326,294,0,0,7992,106,40,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
7,112,14,1548,1505,1567,-80,-2,-2,0,31,0,0,0,32,1487,1648,391,356,0,0,9353,111,40,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
8,120,15,1505,1505,1581,-80,-2,-2,0,32,0,0,0,30,1501,1661,451,413,0,0,9353,111,40,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
9,128,16,1505,1505,1592,-69,-2,-2,0,34,0,0,0,26,1522,1661,495,458,0,0,8024,113,45,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
10,136,17,1505,1505,1592,-100,-2,-2,0,37,0,0,0,34,1491,1692,495,458,0,0,8024,113,45,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
11,144,18,1505,1505,1571,-100,-2,-2,0,41,0,0,0,36,1471,1671,532,503,0,0,8024,113,45,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
12,152,19,1505,1505,1552,-68,-2,-2,0,43,0,0,0,27,1483,1620,570,543,0,0,9394,111,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
13,160,20,1505,1505,1537,-51,-2,-2,0,43,0,0,0,19,1485,1588,592,580,0,0,9394,111,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
14,168,21,1505,1505,1517,-29,-4,-4,0,44,0,0,0,11,1488,1546,618,633,0,0,8055,112,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
15,176,22,1505,1505,1517,-31,-4,-4,0,44,0,0,0,9,1486,1548,618,633,0,0,8055,112,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
16,184,23,1505,1505,1515,-21,-4,-4,0,44,0,0,0,6,1493,1536,633,628,0,0,8055,112,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
17,192,24,1505,1505,1512,-15,-4,-4,0,45,0,0,0,3,1496,1527,636,636,0,0,9398,108,42,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
18,200,25,1505,1505,1510,-18,-4,-4,0,45,0,0,0,4,1492,1528,640,638,0,0,9398,108,42,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
