seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail
0,32,4,2508,2508,2883,-66,2,0,-2,121,0,0,0,19,2816,2949,0,0,0,0,9400,110,44,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
1,64,8,2508,2508,2849,-74,0,0,0,131,0,0,0,28,2775,2923,70,66,0,0,7861,109,43,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
2,96,12,2508,2508,2765,-62,-2,-2,0,139,0,0,0,21,2703,2828,242,228,0,0,7850,248,45,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
3,128,16,2508,2508,2666,-69,-2,-4,-2,146,0,0,0,21,2597,2735,456,411,0,0,9373,109,43,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
4,160,20,2508,2508,2594,-70,-8,-10,-2,153,0,0,0,20,2524,2665,580,574,0,0,9427,113,46,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
5,192,24,2508,2508,2473,-86,-14,-16,-2,161,0,0,0,17,2386,2559,835,806,0,0,9406,112,45,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
6,224,28,2508,2508,2399,-63,-18,-18,0,164,0,0,0,3,2335,2463,973,963,0,0,8038,112,45,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
7,256,32,2348,1505,1999,-126,-22,-22,0,172,0,0,0,17,1872,2126,1057,1038,0,0,8151,112,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
8,264,33,2188,1505,1817,-144,-22,-22,0,173,0,0,0,19,1673,1961,1057,1038,0,0,8151,112,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
9,272,34,2028,1505,1636,-50,-26,-24,2,171,0,0,0,-6,1585,1686,1057,1038,0,0,9406,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
10,280,35,1868,1505,1456,-10,-26,-24,2,168,0,0,0,-22,1445,1466,1057,1038,0,0,9406,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
11,288,36,1708,1505,1242,-41,-26,-24,2,166,0,0,0,-18,1201,1284,1117,1114,0,0,9406,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
12,296,37,1548,1505,1060,-65,-28,-24,4,166,0,0,0,-11,994,1126,1110,1136,0,0,8212,111,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
13,304,38,1505,1505,1092,-107,-28,-24,4,166,0,0,0,0,985,1199,1111,1145,0,0,8212,111,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
14,312,39,1505,1505,1116,-65,-28,-26,2,165,0,0,0,-10,1050,1181,1111,1145,0,0,9436,111,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
15,320,40,1505,1505,1110,-29,-28,-26,2,162,0,0,0,-22,1080,1140,1113,1132,0,0,9436,111,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
16,328,41,1505,1505,1109,52,-28,-26,2,156,0,0,0,-45,1162,1056,1107,1114,0,0,9436,111,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
17,336,42,1505,1505,1108,88,-30,-26,4,150,0,0,0,-58,1196,1020,1096,1102,0,0,8214,111,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
18,344,43,1505,1505,1115,43,-30,-26,4,148,0,0,0,-50,1158,1071,1062,1085,0,0,8214,111,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
19,352,44,1505,1505,1109,-12,-30,-26,4,145,0,0,0,-35,1096,1121,1062,1085,0,0,9406,111,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
20,360,45,1505,1505,1118,-49,-30,-26,4,145,0,0,0,-24,1068,1167,1025,1066,0,0,9406,111,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
21,368,46,1505,1505,1123,-59,-32,-26,6,144,0,0,0,-19,1064,1182,1004,1046,0,0,8052,111,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
22,376,47,1505,1505,1129,13,-32,-26,6,139,0,0,0,-36,1143,1115,992,1017,0,0,8052,258,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
23,384,48,1505,1505,1125,34,-32,-26,6,136,0,0,0,-44,1160,1090,992,1017,0,0,8052,258,44,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
