seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,battery_x10,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail,turn_mark,hard_enter_ip,hard_enter_tick,pre_seen_frames
0,48,6,2552,2552,2925,-363,2,4,2,9,0,0,0,54,2561,3288,11,7,0,0,6840,1027,117,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,96,12,2552,2552,2815,-42,-2,-2,0,29,0,0,0,7,2773,2858,263,192,0,0,3596,1182,117,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,144,18,2552,2552,2656,-57,-2,-2,0,19,0,0,0,4,2598,2713,528,566,0,0,3489,1046,116,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3,192,24,2552,2552,2529,180,-6,-8,-2,33,0,0,0,-36,2709,2348,821,781,0,0,3560,1056,116,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
4,240,30,2552,2552,2445,218,-6,-6,0,8,0,0,0,-59,2664,2227,950,985,0,0,3516,989,116,50,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
5,288,36,2552,2552,2374,-357,-8,-6,2,13,0,0,0,12,2017,2731,1107,1113,0,0,7055,951,116,48,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
6,336,42,2552,2552,2325,-341,-6,-4,2,-4,0,0,0,5,1984,2667,1183,1232,0,0,3602,1184,116,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,384,48,2552,2552,2289,-666,-10,-6,4,4,0,0,0,32,1623,2955,1287,1275,0,0,3649,1008,116,51,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
8,432,54,2552,2552,2266,164,-8,-6,2,-32,0,0,0,-83,2431,2101,1311,1342,0,0,3739,988,116,50,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,480,60,2552,2552,2256,-332,-6,-2,4,-30,0,0,0,4,1924,2588,1338,1355,0,0,3748,912,116,46,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
10,528,66,2552,2552,2252,-12,-4,0,4,-43,0,0,0,-28,2240,2265,1346,1361,0,0,6964,855,116,43,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
11,576,72,2552,2552,2248,-56,-2,2,4,-47,0,0,0,-2,2192,2304,1349,1376,0,0,3511,902,116,38,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
12,584,73,455,455,0,0,-2,-10,-8,-48,0,0,0,-9,0,0,1346,1382,1,0,5421,721,116,36,1,0,0,1,0,38,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,592,74,455,455,0,0,-2,-10,-8,-46,0,0,0,5,0,0,1362,1388,2,0,5421,721,116,36,1,0,0,1,0,38,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,600,75,455,455,0,0,-2,-10,-8,-48,0,0,0,-5,0,0,1368,1390,3,0,5421,721,116,36,1,0,0,1,0,38,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,608,76,455,455,0,0,-2,-12,-10,-50,2,0,0,-20,0,0,1383,1382,4,0,7911,679,116,33,1,1,0,1,0,38,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,1
16,616,77,455,455,0,0,-2,-12,-10,-55,6,0,0,-33,0,0,1383,1382,5,0,7911,679,116,33,1,1,0,1,0,38,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,2
