seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,battery_x10,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail,turn_mark,hard_enter_ip,hard_enter_tick,pre_seen_frames
0,48,6,2552,2552,2925,-207,6,6,0,15,0,0,0,38,2717,3133,8,9,0,0,3745,1076,121,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,96,12,2552,2552,2796,-271,2,4,2,35,0,0,0,48,2524,3067,288,246,0,0,3747,1048,121,51,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,144,18,2552,2552,2662,100,0,0,0,40,0,0,0,-10,2762,2562,547,521,0,0,3780,823,121,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3,192,24,2552,2552,2517,-422,0,-2,-2,48,0,0,0,56,2095,2939,817,831,0,0,5660,1010,121,49,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
4,240,30,2552,2552,2417,127,-4,-4,0,41,0,0,0,-22,2544,2290,1027,1022,0,0,3598,1222,121,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
5,288,36,2552,2552,2351,-211,-6,-4,2,46,0,0,0,14,2140,2562,1150,1162,0,0,3701,1059,121,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
6,336,42,2552,2552,2301,-126,-8,-6,2,34,0,0,0,-23,2174,2428,1242,1270,0,0,3709,1058,121,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,384,48,2552,2552,2258,-172,-8,-4,4,19,0,0,0,-20,2086,2430,1322,1362,0,0,3642,1032,121,51,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
8,432,54,2552,2552,2229,-163,-6,-2,4,4,0,0,0,-14,2066,2392,1385,1414,0,0,5802,961,121,47,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,480,60,2552,2552,2216,-16,-4,0,4,-7,0,0,0,-14,2199,2233,1414,1439,0,0,3670,1085,121,46,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
10,528,66,2552,2552,2203,111,-2,2,4,-12,0,0,0,-18,2314,2091,1449,1456,0,0,3692,824,121,40,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
11,568,71,2217,1893,1678,-87,-2,-8,-6,-8,0,0,0,-1,1591,1765,1477,1475,0,0,3674,727,121,35,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,1
12,576,72,1893,1893,1339,-88,-2,-8,-6,-8,0,0,0,-4,1251,1428,1474,1493,0,0,3674,727,121,35,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,2
13,584,73,1893,1893,1495,-121,-2,-8,-6,-9,0,0,0,-2,1374,1616,1480,1488,0,0,3674,727,121,35,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,3
14,592,74,1893,1893,1495,180,0,-4,-4,-15,0,0,0,-37,1676,1315,1480,1488,0,0,5575,588,121,28,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,4
15,600,75,1893,0,1105,-787,0,-4,-4,-15,0,900,1892,-22,317,1892,1478,1483,1,1,5575,588,121,28,1,0,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,70,75,4
16,608,76,1893,0,1105,-787,0,0,0,-19,4,900,1892,-34,317,1892,1483,1494,2,2,6716,588,121,21,1,0,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,75,4
17,616,77,1893,0,1105,-787,0,0,0,-20,5,900,1892,-33,317,1892,1466,1506,3,3,6716,2807,121,21,4,0,3,1,70,50,70,0,0,0,0,0,0,0,4,0,70,7,43,24,84,0,0,70,75,4
18,624,78,1893,0,1105,-787,0,0,0,-31,16,900,1892,-74,317,1892,1446,1484,4,4,6716,2807,121,21,4,0,3,1,70,50,70,0,0,0,0,0,0,0,4,0,70,7,43,24,84,64,0,70,75,4
19,632,79,1893,0,1105,-787,0,0,0,-51,36,900,1892,-151,317,1892,1446,1484,5,5,6218,2169,121,13,4,0,3,1,86,50,70,0,0,0,0,0,0,0,4,0,86,7,43,24,84,0,2,70,75,4
20,640,80,1893,0,1105,-787,0,0,0,-62,47,900,1892,-172,317,1892,1428,1452,6,6,6218,2169,121,13,4,0,3,1,86,50,70,0,0,0,0,0,0,0,4,0,86,7,43,24,84,0,0,70,75,4
21,648,81,1893,0,1105,-787,-16,0,16,-84,69,900,1892,-206,317,1892,1382,1442,7,7,5378,140,121,2,4,1,3,1,98,50,70,0,0,0,0,0,0,0,4,0,98,7,43,24,84,7,0,70,75,4
22,656,82,1893,0,1105,-787,-16,0,16,-97,82,900,1892,-218,317,1892,1301,1450,8,8,5378,140,121,2,4,1,3,1,98,50,70,0,0,0,0,0,0,0,4,0,98,7,43,24,84,7,0,70,75,4
23,664,83,1893,0,1105,-787,-16,0,16,-122,107,900,1892,-245,317,1892,1301,1450,9,9,5378,140,121,2,4,1,3,1,98,50,70,0,0,0,0,0,0,0,4,0,98,7,43,24,84,7,0,70,75,4
24,672,84,1893,0,1105,-787,0,0,0,-153,138,900,1892,-281,317,1892,1221,1430,10,10,5076,20,121,0,4,1,3,1,98,50,70,0,0,0,0,0,0,1,4,0,98,7,43,24,84,7,0,70,75,4
25,680,85,1893,0,1105,-787,0,0,0,-169,154,900,1892,-299,317,1892,1116,1411,11,11,5076,20,121,0,4,1,3,1,98,50,70,0,0,0,0,0,0,1,4,0,98,7,43,24,84,7,0,70,75,4
26,688,86,1893,0,1105,-787,0,0,0,-197,182,900,1892,-289,317,1892,1064,1395,12,12,5078,20,121,0,4,1,3,1,98,50,70,0,0,0,0,0,0,1,4,0,98,7,43,24,84,7,0,70,75,4
27,696,87,1893,0,1105,-787,0,0,0,-213,198,900,1892,-302,317,1892,1029,1391,13,13,5078,20,121,0,4,1,3,1,98,50,70,0,0,0,0,0,0,1,4,0,98,7,43,24,84,7,0,70,75,4
28,704,88,1893,0,1105,-787,0,0,0,-242,227,900,1892,-296,317,1892,1029,1391,14,14,5078,20,121,0,4,1,3,1,98,50,70,0,0,0,0,0,0,1,4,0,98,7,43,24,84,7,0,70,75,4
29,712,89,1893,0,1105,-787,0,0,0,-275,260,900,1892,-311,317,1892,1008,1370,15,15,5065,19,121,0,4,1,3,1,98,50,70,0,0,0,0,0,0,1,4,0,98,7,43,24,84,7,0,70,75,4
30,720,90,1893,0,1082,-765,0,0,0,-294,279,900,1848,-339,317,1848,958,1333,16,16,5065,19,121,0,4,1,3,1,98,50,70,0,0,0,0,0,0,1,4,0,98,7,43,24,84,7,0,70,75,4
31,728,91,1893,0,1105,-787,0,0,0,-325,310,900,1892,-324,317,1892,937,1305,17,17,6428,20,121,0,4,1,3,1,98,50,70,0,0,0,0,0,0,1,4,0,98,7,43,24,84,5,0,70,75,4
32,736,92,1893,0,1064,-747,0,0,0,-345,330,900,1812,-351,317,1812,889,1292,18,18,6428,20,121,0,4,1,3,1,98,50,70,0,0,0,0,0,0,1,4,0,98,7,43,24,84,5,0,70,75,4
33,744,93,1893,0,1097,-779,0,0,0,-376,361,900,1876,-329,317,1876,889,1292,19,19,6428,20,121,0,4,1,3,1,98,50,70,0,0,0,0,0,0,1,4,0,98,7,43,24,84,5,0,70,75,4
34,752,94,1893,0,1090,-772,0,0,0,-410,395,900,1863,-334,317,1863,865,1280,20,20,5065,20,121,0,4,0,3,1,98,50,70,0,0,0,0,0,0,1,4,0,98,7,43,24,84,0,0,70,75,4
35,760,95,1893,0,1081,-764,0,0,0,-427,412,900,1845,-340,317,1845,855,1249,21,21,5065,20,121,0,4,0,3,1,98,50,70,0,0,0,0,0,0,1,4,0,98,7,43,24,84,0,0,70,75,4
36,768,96,1893,0,1092,-774,0,0,0,-460,445,900,1866,-333,317,1866,853,1217,22,22,5067,20,121,0,4,0,3,1,98,50,70,0,0,0,0,0,0,1,4,0,98,7,43,24,84,0,0,70,75,4
37,776,97,1893,0,1085,-768,0,0,0,-477,462,900,1854,-337,317,1854,853,1217,23,23,5067,20,121,0,4,0,3,1,98,50,70,0,0,0,0,0,0,1,4,0,98,7,43,24,84,0,0,70,75,4
38,784,98,1893,0,1069,-752,0,0,0,-513,498,900,1822,-348,317,1822,830,1189,24,24,5067,20,121,0,4,0,3,1,98,50,70,0,0,0,0,0,0,1,4,0,98,7,43,24,84,0,0,70,75,4
39,792,99,1893,0,1065,-747,0,0,0,-548,533,900,1812,-351,317,1812,812,1177,25,25,5067,20,121,0,4,0,3,1,98,50,70,0,0,0,0,0,0,1,4,0,98,7,43,24,84,0,0,70,75,4
40,800,100,1893,0,1046,-729,0,0,0,-567,552,900,1775,-364,317,1775,785,1166,26,26,5067,20,121,0,4,0,3,1,98,50,70,0,0,0,0,0,0,1,4,0,98,7,43,24,84,0,0,70,75,4
41,808,101,1893,0,1036,-718,0,0,0,-605,590,900,1755,-370,317,1755,785,1166,27,27,5067,20,121,0,4,0,3,1,98,50,70,0,0,0,0,0,0,1,4,0,98,7,43,24,84,0,0,70,75,4
42,816,102,1893,0,1037,-719,0,0,0,-624,608,900,1757,-370,317,1757,785,1166,28,28,5067,20,121,0,4,0,3,1,98,50,70,0,0,0,0,0,0,1,4,0,98,7,43,24,84,0,0,70,75,4
43,824,103,1893,0,1030,-713,0,0,0,-661,646,900,1743,-374,317,1743,785,1166,29,29,5067,20,121,0,4,0,3,1,98,50,70,0,0,0,0,0,0,1,4,0,98,7,43,24,84,0,0,70,75,4
