seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,battery_x10,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail,turn_mark,hard_enter_ip,hard_enter_tick,pre_seen_frames
135,1720,215,2552,0,1075,752,0,0,0,-1297,731,900,1827,375,1827,322,966,605,33,33,5079,20,119,0,5,0,3,2,106,38,0,0,2,4,1,0,0,1,5,0,106,11,47,10,70,0,0,58,183,0
136,1728,216,2552,0,1093,771,0,0,0,-1280,748,900,1864,362,1864,322,951,592,34,34,5079,20,119,0,5,0,3,2,106,38,0,0,2,4,1,0,0,1,5,0,106,11,47,10,70,0,0,58,183,0
137,1736,217,2552,0,1064,741,0,0,0,-1240,787,900,1806,382,1806,322,944,578,35,35,5079,20,119,0,5,0,3,2,106,38,0,0,2,4,1,0,0,1,5,0,106,11,47,10,70,0,0,58,183,0
138,1744,218,2552,0,1050,727,0,0,0,-1200,827,900,1777,391,1777,322,942,562,36,36,5019,20,119,0,5,0,3,2,106,38,0,0,2,4,1,0,0,1,5,0,106,11,47,10,70,0,0,58,183,0
139,1752,219,2552,0,1059,736,0,0,0,-1182,845,900,1796,385,1796,322,942,562,37,37,5019,20,119,0,5,0,3,2,106,38,0,0,2,4,1,0,0,1,5,0,106,11,47,10,70,0,0,58,183,0
140,1760,220,2552,0,626,304,0,0,0,-1142,885,900,930,394,930,322,930,542,38,38,5019,20,119,0,5,0,3,2,106,38,0,0,2,4,1,0,0,1,5,1,106,11,47,10,70,0,0,58,183,0
141,1768,221,2552,0,1400,-1214,64,54,-10,-1121,906,900,930,401,185,2614,911,535,39,39,8813,953,119,47,0,0,4,2,106,38,0,2,2,4,1,0,0,0,5,1,106,11,47,10,70,0,0,58,183,0
142,1776,222,2552,0,1400,-1170,52,44,-8,-1082,945,900,930,389,229,2570,897,522,40,39,3802,953,119,45,0,0,4,2,106,38,0,2,2,4,1,0,0,0,5,0,106,11,47,10,70,0,0,58,183,0
143,1784,223,2552,0,1400,-1009,52,44,-8,-1051,976,900,930,343,390,2409,897,522,41,39,3802,1049,119,45,0,0,4,2,106,38,0,2,2,4,1,0,0,0,0,1,0,0,0,0,0,0,0,58,183,0
144,1792,224,2552,0,1400,-985,52,44,-8,-1034,993,900,930,336,414,2385,890,512,42,39,3802,1049,119,45,0,0,4,2,106,38,0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,58,183,0
145,1800,225,2552,0,1400,-689,40,24,-16,-1014,1013,900,930,252,710,2089,884,500,43,39,3891,1008,119,49,0,0,4,2,106,38,0,2,2,4,1,0,0,0,0,1,0,0,0,0,0,0,0,58,183,0
146,1808,226,2552,0,1400,-494,40,24,-16,-1009,1018,900,930,196,905,1894,858,488,44,39,3891,1008,119,49,0,0,4,2,106,38,0,2,2,4,1,0,0,0,0,1,0,0,0,0,0,0,0,58,183,0
147,1816,227,2552,0,1400,-157,40,24,-16,-1006,1021,900,930,99,1242,1557,827,479,45,39,3891,1008,119,49,0,0,4,2,106,38,0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,58,183,0
148,1824,228,2552,0,1400,0,36,6,-30,-1005,1022,900,930,44,1400,1400,827,479,46,39,7050,944,119,45,0,0,5,2,106,38,0,2,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,58,183,0
149,1832,229,2552,0,1400,0,36,6,-30,-1005,1022,900,930,33,1400,1400,773,516,47,39,7050,944,119,45,0,0,5,2,106,38,0,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,58,183,0
150,1840,230,2552,0,1350,0,36,-8,-44,-1002,1025,900,930,28,1350,1350,721,538,48,39,3908,1723,119,50,0,0,5,2,106,38,0,2,3,2,2,0,0,0,0,1,56,0,36,19,79,0,0,58,183,0
151,1848,231,2552,0,1350,0,36,-8,-44,-1000,1027,900,930,33,1350,1350,681,568,49,39,3908,1723,119,50,0,0,5,2,106,38,0,2,3,2,2,0,0,0,0,1,56,0,36,19,79,0,0,58,183,0
152,1856,232,2552,0,1350,0,32,-20,-52,-994,1033,900,930,48,1350,1350,659,586,50,39,3938,1723,119,48,0,0,5,2,106,38,0,2,3,2,2,0,0,0,0,0,56,0,36,19,79,0,0,58,183,0
153,1864,233,2552,0,1350,0,32,-20,-52,-986,0,0,0,65,1350,1350,659,586,0,0,3938,1916,119,48,5,0,0,2,62,50,68,0,3,2,2,0,0,0,0,0,62,0,36,19,79,0,0,58,183,0
154,1872,234,1018,1440,475,306,32,-20,-52,-982,4,0,0,70,781,168,655,599,1,0,3938,1916,119,48,5,0,1,2,62,50,68,0,3,2,2,0,1,0,0,0,62,0,36,19,79,0,0,58,183,0
155,1880,235,1018,1440,410,523,26,-40,-66,-972,13,900,934,87,934,-112,658,614,2,1,8594,1916,119,44,5,0,3,2,62,50,68,0,3,2,2,0,1,0,0,1,62,0,36,19,79,0,5,62,235,0
156,1888,236,1018,1440,812,1037,26,-40,-66,-966,20,900,1850,99,1850,-225,664,624,3,2,8594,1972,119,44,5,1,3,2,64,50,68,0,3,2,2,0,1,0,0,1,64,4,40,33,93,7,0,62,235,0
157,1896,237,1018,1440,812,1037,26,-256,4128,3337,29440,30500,1281,770,23090,17408,770,512,256,1280,13837,12552,17419,0,235,0,62,0,170,85,161,1,40,0,171,0,251,3,250,5,160,2,23,2,249,0,56,0,1024,52
65063,4104,513,900,1297,511,1297,-225,784,289,18,17,8205,2108,119,9221,259,602,12868,3,514,1,5,54,13,49,8,68,11,0,235,0,62,0,0,172,0,252,3,250,5,160,2,23,2,249,0,56,0,1024,52
175,2040,255,1018,1440,551,777,-6,20,26,-297,689,900,1328,504,1328,-225,749,248,22,21,8536,865,119,47,5,1,3,2,90,50,68,0,3,2,2,0,1,0,5,0,54,13,49,8,68,11,0,62,235,0
176,2048,256,1018,1440,560,786,-6,20,26,-273,713,900,1347,498,1347,-225,749,248,23,22,8536,1089,119,47,5,1,3,2,90,50,68,0,3,2,2,0,1,0,5,0,54,13,49,8,68,11,0,62,235,0
177,2056,257,1018,1440,571,797,-6,20,26,-224,762,900,1369,491,1369,-225,732,236,24,23,8536,1089,119,47,5,1,3,2,90,50,68,0,3,2,2,0,1,0,5,0,54,13,49,8,68,11,0,62,235,0
178,2064,258,1018,1440,1400,-1400,-18,4,22,-174,812,900,1369,499,0,2800,723,220,25,24,9834,1089,119,49,0,0,4,2,90,50,68,1,3,2,2,0,1,0,5,0,54,13,49,8,68,0,0,62,235,0
179,2072,259,1018,1440,1400,-1400,-18,4,22,-149,837,900,1369,497,0,2800,710,211,26,24,9834,4735,119,49,0,0,4,2,90,50,68,1,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,62,235,0
180,2080,260,1018,1440,1400,-1400,-30,-12,18,-100,886,900,1369,491,0,2800,687,201,27,24,8512,4735,119,49,0,0,4,2,90,50,68,1,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,62,235,0
181,2088,261,1018,1440,1400,-1400,-30,-12,18,-76,910,900,1369,490,0,2800,687,201,28,24,8512,4771,119,49,0,0,4,2,90,50,68,1,3,2,2,0,1,0,0,1,0,0,0,0,0,0,0,62,235,0
182,2096,262,1018,1440,1400,-1400,-30,-12,18,-28,958,900,1369,483,0,2800,670,190,29,24,8512,4771,119,49,0,0,4,2,90,50,68,1,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,62,235,0
183,2104,263,1018,1440,1400,-1400,-42,-26,16,16,1003,900,1369,462,0,2800,655,178,30,24,8531,1049,119,50,0,0,4,2,90,50,68,1,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,62,235,0
184,2112,264,1018,1440,1400,-1400,-42,-26,16,39,1026,900,1369,464,0,2800,640,168,31,24,8531,1049,119,50,0,0,4,2,90,50,68,1,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,62,235,0
185,2120,265,1018,1440,1400,-1400,-56,-42,14,84,1071,900,1369,460,0,2800,640,168,32,24,8606,1049,119,50,0,0,4,2,90,50,68,1,3,2,2,0,1,0,0,1,0,0,0,0,0,0,0,62,235,0
186,2128,266,1018,1440,1400,-1400,-56,-42,14,107,1094,900,1369,458,0,2800,625,158,33,24,8606,1595,119,50,0,0,4,2,90,50,68,1,3,2,2,0,1,0,0,1,0,0,0,0,0,0,0,62,235,0
187,2136,267,1018,1440,1400,-1400,-56,-42,14,154,1141,900,1369,464,0,2800,613,150,34,24,8606,1595,119,50,0,0,4,2,90,50,68,1,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,62,235,0
188,2144,268,1018,1440,1400,-1400,0,0,0,199,1186,900,1369,458,0,2800,599,140,35,24,5053,413,119,0,0,0,4,2,90,50,68,1,3,2,2,0,1,1,0,0,0,0,0,0,0,0,0,62,235,0
189,2152,269,1018,1440,1400,-1400,0,0,0,223,1209,900,1369,460,0,2800,599,140,36,24,5053,413,119,0,0,0,5,2,90,50,68,1,4,5,2,0,1,1,0,0,0,0,0,0,0,0,0,62,235,0
190,2160,270,1018,1440,1400,-1387,0,0,0,267,1254,900,1369,451,12,2787,599,140,37,24,5062,63,119,0,0,0,5,2,90,50,68,1,4,5,2,0,1,1,0,0,0,0,0,0,0,0,0,62,235,0
191,2168,271,1018,1440,1400,-1400,0,0,0,290,1277,900,1369,456,0,2800,599,140,38,24,5062,63,119,0,0,0,5,2,90,50,68,1,4,5,2,0,1,1,0,0,0,0,0,0,0,0,0,62,235,0
192,2176,272,1018,1440,1400,-1400,0,0,0,338,1325,900,1369,467,0,2800,569,113,39,24,5062,63,119,0,0,0,5,2,90,50,68,1,4,5,2,0,1,1,0,0,0,0,0,0,0,0,0,62,235,0
193,2184,273,1018,1440,1400,-1400,0,0,0,384,1371,900,1369,465,0,2800,554,106,40,24,6410,63,119,0,0,0,5,2,90,50,68,1,4,5,2,0,1,1,0,0,0,0,0,0,0,0,0,62,235,0
194,2192,274,1018,1440,1400,-1400,0,0,0,408,1395,900,1369,468,0,2800,544,100,41,24,6410,63,119,0,0,0,5,2,90,50,68,1,4,5,2,0,1,1,0,0,0,0,0,0,0,0,0,62,235,0
195,2200,275,1018,1440,1400,-1400,0,0,0,454,1441,900,1369,464,0,2800,544,100,42,24,5075,63,119,0,0,0,5,2,90,50,68,1,4,5,2,0,1,1,0,0,0,0,0,0,0,0,0,62,235,0
196,2208,276,1018,1440,1400,-1400,0,0,0,476,1463,900,1369,460,0,2800,535,93,43,24,5075,63,119,0,0,0,5,2,90,50,68,1,4,5,2,0,1,1,0,0,0,0,0,0,0,0,0,62,235,0
197,2216,277,2314,770,2363,-422,0,0,0,522,0,0,0,456,1940,2786,533,86,0,0,5075,63,119,0,0,0,0,0,0,0,0,0,4,5,2,0,2,1,0,0,0,0,0,0,0,0,0,62,235,0
198,2224,278,1979,770,2014,-1164,0,0,0,567,0,0,0,452,849,3179,529,80,0,0,5223,11,119,0,0,0,0,0,0,0,0,0,4,5,2,0,2,1,0,0,0,0,0,0,0,0,0,62,235,0
199,2232,279,1644,770,1662,-1579,0,0,0,589,0,0,0,452,83,3242,529,80,0,0,5223,11,119,0,0,0,0,0,0,0,0,0,4,5,2,0,2,1,0,0,0,0,0,0,0,0,0,62,235,0
200,2240,280,1309,770,1313,-1248,0,0,0,622,0,0,0,371,65,2562,521,76,0,0,5084,11,119,0,0,0,0,0,0,0,0,0,4,5,2,0,2,1,0,0,0,0,0,0,0,0,0,62,235,0
201,2248,281,974,770,963,-915,0,0,0,633,0,0,0,316,48,1878,519,73,0,0,5084,11,119,0,0,0,0,0,0,0,0,0,4,5,2,0,2,1,0,0,0,0,0,0,0,0,0,62,235,0
202,2256,282,770,770,814,-773,0,0,0,635,0,0,0,142,40,1587,514,71,0,0,5084,11,119,0,0,0,0,0,0,0,0,0,4,5,2,0,2,1,0,0,0,0,0,0,0,0,0,62,235,0
203,2264,283,770,770,908,-467,0,0,0,629,0,0,0,25,440,1376,514,71,0,0,5086,63,119,0,0,0,0,0,0,0,0,0,4,5,2,0,2,1,0,0,0,0,0,0,0,0,0,62,235,0
204,2272,284,770,770,908,176,0,0,0,624,0,0,0,-22,1085,732,514,71,0,0,5086,63,119,0,0,0,0,0,0,0,0,0,4,5,2,0,2,1,0,0,0,0,0,0,0,0,0,62,235,0
205,4088,511,-2557,32514,-3583,-23294,256,0,19,-8960,16128,30464,0,0,0,0,1029,512,513,0,0,0,0,0,235,0,62,0,170,85,161,1,40,0,219,1,43,3,2,3,2,3,57,255,248,0,0,0,0,0
618,0,0,0,0,1,816,833,421,513,0,0,5085,63,119,0,0,0,0,4,1282,2,256,0,0,0,0,0,0,0,235,0,62,0,0,220,1,44,3,2,3,2,3,123,255,203,0,0,0,0,0
223,2424,303,770,770,892,5,0,0,0,621,0,0,0,2,897,886,328,337,0,0,6438,63,119,0,0,0,0,0,0,0,0,0,4,5,2,0,2,1,0,0,0,0,0,0,0,0,0,62,235,0
224,2432,304,770,770,893,-58,0,0,0,622,0,0,0,8,834,952,329,331,0,0,6438,63,119,0,0,0,0,0,0,0,0,0,4,5,2,0,2,1,0,0,0,0,0,0,0,0,0,62,235,0
225,2440,305,770,770,896,-39,0,0,0,622,0,0,0,6,856,935,329,321,0,0,5086,63,119,0,0,0,0,0,0,0,0,0,4,5,2,0,2,1,0,0,0,0,0,0,0,0,0,62,235,0
226,2448,306,770,770,896,4,0,0,0,621,0,0,0,0,901,891,332,315,0,0,5086,63,119,0,0,0,0,0,0,0,0,0,4,5,2,0,2,1,0,0,0,0,0,0,0,0,0,62,235,0
227,2456,307,770,770,897,0,0,0,0,621,0,0,0,-1,897,897,328,315,0,0,5086,63,119,0,0,0,0,0,0,0,0,0,4,5,2,0,2,1,0,0,0,0,0,0,0,0,0,62,235,0
228,2464,308,770,770,897,-57,0,0,0,622,0,0,0,8,840,954,328,315,0,0,5083,63,119,0,0,0,0,0,0,0,0,0,4,5,2,0,2,1,0,0,0,0,0,0,0,0,0,62,235,0
229,2472,309,770,770,899,-82,0,0,0,624,0,0,0,12,817,981,324,313,0,0,5083,63,119,0,0,0,0,0,0,0,0,0,4,5,2,0,2,1,0,0,0,0,0,0,0,0,0,62,235,0
230,2480,310,770,770,899,-29,0,0,0,624,0,0,0,5,870,928,322,313,0,0,5076,63,119,0,0,0,0,0,0,0,0,0,4,5,2,0,2,1,0,0,0,0,0,0,0,0,0,62,235,0
