seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail
0,32,4,2508,2508,2883,-30,0,-2,-2,90,0,0,0,9,2852,2913,0,0,0,0,8033,112,45,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
1,64,8,2508,2508,2851,-25,-2,-4,-2,92,0,0,0,7,2826,2877,57,69,0,0,9383,113,46,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
2,96,12,2508,2508,2773,-52,-4,-6,-2,100,0,0,0,18,2721,2825,227,214,0,0,9388,113,46,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
3,128,16,2508,2508,2684,-20,-4,-6,-2,103,0,0,0,4,2663,2704,414,382,0,0,8028,109,43,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
4,160,20,2508,2508,2609,-76,-10,-12,-2,109,0,0,0,17,2532,2686,570,525,0,0,8128,113,46,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
5,192,24,2508,2508,2528,-96,-16,-18,-2,114,0,0,0,16,2431,2625,728,692,0,0,8040,114,45,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
6,224,28,2508,2508,2407,-140,-20,-22,-2,119,0,0,0,19,2266,2547,906,846,0,0,9435,119,50,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
7,232,29,2348,1505,2080,-164,-24,-24,0,121,0,0,0,24,1915,2245,948,886,0,0,8020,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
8,240,30,2188,1505,1896,-157,-24,-24,0,123,0,0,0,22,1739,2054,948,886,0,0,8020,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
9,248,31,2028,1505,1691,-141,-24,-24,0,123,0,0,0,17,1549,1833,990,936,0,0,8020,110,43,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7
10,256,32,2508,2508,2645,-120,-28,-28,0,123,0,0,0,7,2525,2766,1024,985,0,0,9578,118,48,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,5
11,264,33,2348,1505,1967,-136,-28,-28,0,124,0,0,0,7,1831,2104,1047,1017,0,0,9578,118,48,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5
12,272,34,2508,2508,2357,-153,-30,-30,0,125,0,0,0,8,2204,2511,1057,1042,0,0,8099,118,49,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,5
13,280,35,2508,2508,2226,-146,-30,-30,0,126,0,0,0,6,2080,2373,1057,1042,0,0,8099,118,49,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,5
14,288,36,2348,1505,1927,-133,-30,-30,0,125,0,0,0,1,1794,2060,1055,1046,0,0,8099,118,49,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5
