seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail,turn_mark,hard_enter_ip,hard_enter_tick,pre_seen_frames
0,32,4,2128,2128,2468,0,8,8,0,4,0,0,0,9,2468,2468,1,0,0,0,8472,1200,51,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,64,8,2128,2128,2456,-136,8,8,0,18,0,0,0,42,2320,2592,63,47,0,0,6507,999,49,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,96,12,2128,2128,2375,-207,4,4,0,33,0,0,0,48,2168,2582,230,207,0,0,4485,1076,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3,128,16,2128,2128,2288,-206,2,2,0,45,0,0,0,38,2082,2494,407,376,0,0,7914,1038,51,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
4,160,20,2128,2128,2210,-57,0,0,0,48,0,0,0,10,2153,2268,567,528,0,0,4728,1076,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
5,176,22,1895,1397,1808,-125,0,-2,-2,51,0,0,0,17,1683,1933,650,626,0,0,6288,745,36,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,1
6,184,23,1662,1397,1563,-172,0,-2,-2,54,0,0,0,24,1391,1736,650,626,0,0,6288,745,36,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,2
7,192,24,1429,1397,1297,-133,0,-2,-2,54,0,0,0,19,1164,1431,689,673,0,0,6288,745,36,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,3
8,200,25,1397,1397,1344,-83,-2,-4,-2,54,0,0,0,10,1261,1428,715,711,0,0,4884,1109,53,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,4
9,208,26,1397,0,1147,-819,-2,-4,-2,54,0,900,1966,2,328,1966,741,745,1,1,4884,1109,53,1,0,3,1,70,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,70,26,4
