seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail
0,32,4,2128,2128,2468,31,-2,0,2,0,0,0,0,-2,2500,2436,1,0,0,0,9485,118,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
1,64,8,2128,2128,2467,-145,-2,-2,0,6,0,0,0,20,2321,2613,38,31,0,0,4238,118,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
2,96,12,2128,2128,2393,-180,-4,-4,0,12,0,0,0,23,2213,2574,191,172,0,0,4253,118,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
3,128,16,2128,2128,2333,-225,-6,-4,2,20,0,0,0,29,2108,2559,311,291,0,0,4382,117,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
4,160,20,2128,2128,2197,-103,-8,-8,0,24,0,0,0,0,2093,2301,579,570,0,0,4391,118,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
5,192,24,2128,2128,2147,0,-10,-8,2,15,0,0,0,-31,2147,2147,665,682,0,0,4250,118,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
6,224,28,2128,2128,2101,-167,-10,-8,2,9,0,0,0,-13,1934,2268,753,779,0,0,4241,117,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
7,256,32,2128,2128,2065,-230,-10,-8,2,5,0,0,0,-8,1834,2295,823,854,0,0,4380,117,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
8,288,36,2128,2128,2039,-152,-10,-8,2,3,0,0,0,-20,1887,2191,880,899,0,0,4376,117,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
9,320,40,2128,2128,2005,158,-10,-6,4,-20,0,0,0,-67,2164,1847,941,973,0,0,6270,117,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
