seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail
0,32,4,2060,2060,2413,-22,-4,-6,-2,0,0,0,0,3,2391,2435,-1,-1,0,0,7798,122,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
1,64,8,2060,2060,2385,-38,-6,-6,0,2,0,0,0,9,2346,2423,52,60,0,0,7925,119,51,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
2,96,12,2060,2060,2313,-49,-6,-6,0,7,0,0,0,14,2263,2362,204,196,0,0,9340,118,50,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
3,128,16,2060,2060,2234,-70,-6,-8,-2,12,0,0,0,18,2163,2305,356,358,0,0,9155,122,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
4,160,20,2060,2060,2185,-49,-8,-10,-2,16,0,0,0,9,2136,2235,457,452,0,0,7930,119,51,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
5,192,24,2060,2060,2084,-70,-8,-10,-2,20,0,0,0,14,2014,2155,659,654,0,0,7802,122,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
6,224,28,2060,2060,2036,-68,-10,-12,-2,24,0,0,0,10,1968,2104,752,753,0,0,7988,118,50,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
7,256,32,2060,2060,2002,-97,-12,-12,0,27,0,0,0,16,1905,2099,828,815,0,0,9238,120,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
8,288,36,2060,2060,1971,-59,-14,-14,0,29,0,0,0,4,1912,2030,880,886,0,0,9306,120,51,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
9,320,40,2060,2060,1947,-86,-14,-14,0,31,0,0,0,11,1860,2033,935,928,0,0,8006,117,49,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
10,352,44,2060,2060,1926,-74,-16,-16,0,34,0,0,0,6,1851,2001,967,978,0,0,7943,119,51,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
11,384,48,2060,2060,1915,-61,-16,-16,0,33,0,0,0,0,1853,1976,991,1001,0,0,7883,121,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
12,416,52,2060,2060,1892,-45,-16,-16,0,33,0,0,0,-3,1846,1937,1036,1048,0,0,9240,121,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
13,448,56,2060,2060,1880,-75,-18,-18,0,35,0,0,0,3,1804,1955,1069,1063,0,0,9210,122,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
14,480,60,2060,2060,1870,-63,-18,-18,0,36,0,0,0,-1,1806,1933,1077,1095,0,0,7845,122,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
15,512,64,2060,2060,1861,-113,-18,-18,0,36,0,0,0,10,1748,1975,1097,1108,0,0,7880,121,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
16,544,68,2060,2060,1854,-83,-18,-16,2,37,0,0,0,5,1770,1937,1110,1126,0,0,7937,119,51,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
17,576,72,2060,2060,1845,-79,-18,-16,2,40,0,0,0,4,1765,1925,1121,1148,0,0,9331,119,51,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
18,608,76,2060,2060,1840,-75,-16,-16,0,41,0,0,0,5,1764,1915,1138,1153,0,0,9428,115,48,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
19,640,80,2060,2060,1834,-77,-16,-16,0,45,0,0,0,6,1756,1911,1149,1166,0,0,8046,114,46,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
