seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,battery_x10,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,ip_visual_row,ip_ctrl_row,ip_ctrl_dir,ip_ctrl_score,ip_ctrl_reason,fast_ra_type,fast_front,fast_left,fast_right,line_takeover_ready,line_takeover_cnt,exit_boost_active,exit_boost_cnt,hard_outer_dynamic,yaw_pred,yaw_remain,outer_scale,takeover_valid_rows,takeover_error,takeover_lookahead,takeover_trend,box_top,box_bottom,box_left,box_right,pre_detail,turn_mark,hard_enter_ip,hard_enter_tick,pre_seen_frames
0,48,6,2552,2552,2929,-286,4,6,2,9,0,0,0,47,2642,3215,0,1,0,0,3432,1315,122,51,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
1,96,12,2552,2552,2817,-156,0,0,0,33,0,0,0,26,2660,2973,248,202,0,0,3595,1186,122,51,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2,144,18,2552,2552,2649,28,0,0,0,25,0,0,0,-3,2677,2620,556,566,0,0,6846,1307,122,49,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
3,192,24,2552,2552,2546,-76,-4,-4,0,46,0,0,0,9,2469,2622,783,750,0,0,3578,1196,122,49,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
4,240,30,2552,2552,2422,-249,-8,-6,2,42,0,0,0,7,2173,2671,989,1038,0,0,3564,1285,122,46,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
5,288,36,2552,2552,2368,-130,-12,-12,0,47,0,0,0,-47,2237,2499,1129,1116,0,0,3557,1235,122,44,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
6,336,42,2552,0,954,-1209,-12,-8,4,10,0,800,2163,-35,-255,2163,1198,1299,1,1,3507,975,122,38,1,0,3,1,12,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1850,10,789,100,38,-12,-8,4,0,0,0,0,0,5,12,42,0
7,344,43,2552,0,954,-1209,-12,-8,4,9,1,800,2163,-33,-255,2163,1198,1299,2,2,3507,975,122,38,1,0,3,1,12,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1850,11,788,100,38,-12,-8,4,0,0,0,0,0,0,12,42,0
8,352,44,2552,0,961,-1219,-12,-8,4,1,9,800,2181,-67,-257,2181,1219,1299,3,3,3507,975,121,38,1,0,3,1,12,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1850,29,770,100,38,-12,-8,4,0,0,0,0,0,0,12,42,0
9,360,45,2552,0,961,-1219,-12,-18,-6,-21,31,800,2181,-161,-257,2181,1250,1310,4,4,8025,937,121,35,1,1,3,1,12,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1850,80,719,100,35,-12,-18,-6,0,0,0,0,7,2,12,42,0
10,368,46,2552,0,961,-1219,-12,-18,-6,-35,46,800,2181,-207,-257,2181,1288,1346,5,5,8025,937,121,35,1,1,3,1,12,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1850,108,691,100,35,-12,-18,-6,0,0,0,0,7,0,12,42,0
11,376,47,2552,0,961,-1219,-12,-18,-6,-66,77,800,2181,-266,-257,2181,1237,1354,6,6,8025,937,121,35,1,1,3,1,12,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1850,157,642,100,35,-12,-18,-6,0,0,0,0,7,0,12,42,0
12,384,48,2552,0,961,-1219,-8,-26,-18,-84,95,800,2181,-298,-257,2181,1237,1354,7,7,9235,886,121,33,1,1,3,1,12,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1850,184,615,100,33,-8,-26,-18,0,0,0,0,7,0,12,42,0
13,392,49,2552,0,961,-1219,-8,-26,-18,-121,132,800,2181,-340,-257,2181,1156,1359,8,8,9235,886,121,33,1,1,3,1,12,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1850,234,565,100,33,-8,-26,-18,0,0,0,0,7,0,12,42,0
14,400,50,2552,0,1169,-1169,0,-42,-42,-164,174,800,2338,-390,0,2338,1090,1364,9,9,7650,810,121,29,1,1,3,1,12,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1850,291,508,100,29,0,-42,-42,0,0,0,0,7,0,12,42,0
15,408,51,2552,0,1148,-1148,0,-42,-42,-185,196,800,2296,-404,0,2296,1009,1380,10,10,7650,810,121,29,1,1,3,1,12,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1850,317,482,100,29,0,-42,-42,0,0,0,0,7,0,12,42,0
16,416,52,2552,0,1072,-1072,0,-42,-42,-234,245,800,2144,-455,0,2144,1009,1380,11,11,7572,810,121,29,1,1,3,1,12,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1850,382,417,100,29,0,-42,-42,0,0,0,0,7,0,12,42,0
