seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail,turn_mark,hard_enter_ip,hard_enter_tick,pre_seen_frames
374,4648,581,1735,0,1350,-459,-36,-20,16,468,1098,900,864,-277,890,1809,334,706,40,33,6402,117,0,5,1,110,70,70,2,7,4,1,0,0,0,0,0,0,0,0,0,0,0,2,30,0,74,13056,1
375,4680,585,1558,1558,1624,-247,-18,0,18,418,0,0,0,-84,1377,1872,381,663,0,0,4182,11,0,0,0,0,0,0,0,7,4,1,0,5,0,0,1,0,0,0,0,0,0,2,30,0,74,13568,0
376,4712,589,2128,2128,2389,-175,-12,-4,8,408,0,0,0,-59,2213,2565,489,623,0,0,4169,1069,0,0,0,0,0,0,0,7,4,1,0,4,0,0,1,0,0,0,0,0,0,2,30,0,74,13312,0
377,4744,593,2128,2128,2166,-101,-12,-10,2,383,0,0,0,-70,2065,2267,597,674,0,0,4360,971,0,0,0,0,0,0,0,7,4,1,0,4,0,0,1,0,0,0,0,0,0,2,30,0,74,13312,0
378,4776,597,2128,0,413,506,-2,-30,-28,362,0,900,920,-60,920,-93,682,737,1,1,4357,1472,0,3,2,78,70,70,0,7,4,1,0,0,0,5,1,78,11,47,11,71,0,2,85,5,78,13317,0
379,4784,598,2128,0,826,1013,-2,-30,-28,360,0,900,1840,-54,1840,-187,706,770,2,2,4357,1472,0,3,2,78,70,70,0,7,4,1,0,0,0,5,1,78,11,47,11,71,0,2,85,0,78,13317,0
380,4792,599,2128,0,826,1013,-2,-30,-28,361,0,900,1840,-14,1840,-187,738,812,3,3,4357,1472,0,3,2,78,70,70,0,7,4,1,0,0,0,5,0,78,11,47,11,71,0,2,85,0,78,13317,0
381,4800,600,2128,0,826,974,-18,-36,-18,371,8,900,1800,51,1800,-147,768,856,4,4,8143,881,1,3,2,100,70,70,0,7,4,1,0,0,0,5,1,100,11,47,11,71,71,2,85,0,78,11525,0
382,4808,601,2128,0,826,974,-18,-36,-18,379,16,900,1800,88,1800,-147,802,875,5,5,8143,881,1,3,2,100,70,70,0,7,4,1,0,0,0,5,0,100,11,47,11,71,7,2,85,0,78,11525,0
383,4816,602,2128,0,826,972,-14,-44,-30,398,35,900,1799,149,1799,-145,802,875,6,6,9534,177,1,3,2,100,70,70,0,7,4,1,0,0,0,5,1,100,11,47,11,71,7,2,85,2,78,10757,0
384,4824,603,2128,0,826,972,-14,-44,-30,407,44,900,1799,160,1799,-145,817,843,7,7,9534,177,1,3,2,100,70,70,0,7,4,1,0,0,0,5,1,100,11,47,11,71,7,2,85,0,78,10757,0
385,4832,604,2128,0,826,972,-14,-44,-30,431,69,900,1799,209,1799,-145,854,801,8,8,9534,177,1,3,2,100,70,70,0,7,4,1,0,0,0,5,0,100,11,47,11,71,7,2,85,0,78,10757,0
386,4840,605,2128,0,811,1038,-10,-24,-14,462,100,900,1850,268,1850,-227,871,716,9,9,6986,393,1,3,2,100,70,70,0,7,4,1,0,0,0,5,0,76,11,47,11,71,7,2,85,0,78,4357,0
387,4848,606,2128,0,811,1038,-10,-24,-14,480,117,900,1850,296,1850,-227,871,716,10,10,6986,393,1,3,2,100,70,70,0,7,4,1,0,0,0,5,0,76,11,47,11,71,7,2,85,0,78,4357,0
388,4856,607,2128,0,804,1032,-24,-4,20,516,154,900,1837,337,1837,-227,874,583,11,11,5877,1987,1,3,2,100,70,70,0,7,4,1,0,0,0,5,0,86,11,47,11,71,7,2,85,0,78,1797,0
389,4864,608,2128,0,782,1010,-24,-4,20,535,173,900,1792,352,1792,-227,881,499,12,12,5877,1987,1,3,2,100,70,70,0,7,4,1,0,0,0,5,0,86,11,47,11,71,7,2,85,0,78,1797,0
390,4872,609,2128,0,716,944,-40,0,40,578,215,900,1661,395,1661,-227,890,540,13,13,4803,75,1,3,2,110,70,70,0,7,4,1,0,0,0,5,0,110,11,47,11,71,7,2,85,0,78,261,0
391,4880,610,2128,0,693,921,-40,0,40,620,257,900,1614,410,1614,-227,904,547,14,14,4803,75,1,3,2,110,70,70,0,7,4,1,0,0,0,5,0,110,11,47,11,71,7,2,85,0,78,261,0
392,4888,611,2128,0,684,912,-40,0,40,641,279,900,1596,416,1596,-227,904,547,15,15,4803,75,1,3,2,110,70,70,0,7,4,1,0,0,0,5,0,110,11,47,11,71,7,2,85,0,78,261,0
393,4896,612,2128,0,694,922,0,0,0,682,319,900,1616,410,1616,-227,909,539,16,16,5070,19,1,3,2,110,70,70,0,7,4,1,0,0,1,5,0,110,11,47,11,71,7,2,85,0,78,5,0
394,4904,613,2128,0,686,914,0,0,0,703,340,900,1600,415,1600,-227,917,508,17,17,5070,19,1,3,2,110,70,70,0,7,4,1,0,0,1,5,0,110,11,47,11,71,7,2,85,0,78,5,0
395,4912,614,2128,0,684,912,0,0,0,744,382,900,1596,416,1596,-227,901,481,18,18,4937,19,1,3,2,110,70,70,0,7,4,1,0,0,1,5,0,110,11,47,11,71,7,2,85,0,78,5,0
