seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail,turn_mark,hard_enter_ip,hard_enter_tick,pre_seen_frames
245,3464,433,2128,0,664,-896,0,0,0,-1443,449,900,1561,-436,-231,1561,397,831,20,20,4696,20,0,4,1,3,1,110,50,64,0,5,5,1,0,0,1,4,0,76,8,44,21,81,11,0,72,414,0
246,3472,434,2128,0,635,-866,-60,0,60,-1490,495,900,1501,-456,-231,1501,397,831,21,21,7139,20,7,4,1,3,1,110,50,64,0,5,5,1,0,0,0,4,0,76,8,44,21,81,7,0,72,414,0
247,3480,435,2128,0,643,-875,-60,0,60,-1512,517,900,1519,-450,-231,1519,383,817,22,22,7139,3484,7,4,1,3,1,110,50,64,0,5,5,1,0,0,0,4,0,98,8,44,21,81,7,0,72,414,0
248,3488,436,2128,0,643,-874,-60,0,60,-1556,562,900,1517,-450,-231,1517,364,797,23,23,7139,3484,7,4,1,3,1,110,50,64,0,5,5,1,0,0,0,4,0,98,8,44,21,81,7,0,72,414,0
249,3496,437,2128,0,656,-888,-58,0,58,-1600,605,900,1545,-441,-231,1545,337,773,24,24,6996,2674,21,4,1,3,1,110,50,64,0,5,5,1,0,0,0,4,0,70,8,44,21,81,7,0,72,414,0
250,3504,438,2128,0,662,-893,-58,0,58,-1621,627,900,1556,-438,-231,1556,319,755,25,25,6996,2674,21,4,1,3,1,110,50,64,0,5,5,1,0,0,0,4,0,70,8,44,21,81,7,0,72,414,0
251,3512,439,2128,0,724,-956,-52,-20,32,-1666,671,900,1681,-440,-231,1681,319,755,26,26,8559,929,46,4,1,3,1,110,50,64,0,5,5,1,0,0,0,4,0,70,8,44,21,81,7,0,72,414,0
252,3520,440,2128,0,713,-945,-52,-20,32,-1689,694,900,1659,-448,-231,1659,290,737,27,27,8559,929,46,4,1,3,1,110,50,64,0,5,5,1,0,0,0,4,0,70,8,44,21,81,7,0,72,414,0
253,3528,441,2128,0,685,-917,-52,-20,32,-1737,742,900,1602,-466,-231,1602,276,723,28,28,8559,929,46,4,1,3,1,110,50,64,0,5,5,1,0,0,0,4,0,70,8,44,21,81,7,0,72,414,0
254,3536,442,2128,0,665,-896,-38,-40,-2,-1786,791,900,1562,-478,-231,1562,265,707,29,29,8442,1042,51,4,1,3,1,110,50,64,0,5,5,1,0,0,0,4,0,70,8,44,21,81,7,0,72,414,0
255,3544,443,2128,0,657,-889,-38,-40,-2,1789,815,900,1547,-482,-231,1547,265,707,30,30,8442,1042,51,4,1,3,1,110,50,64,0,5,5,1,0,0,0,4,0,70,8,44,21,81,7,0,72,414,0
256,3552,444,2128,0,528,-760,-26,-28,-2,1741,863,900,1289,-478,-231,1289,251,703,31,31,8387,1042,52,4,1,3,1,110,50,64,0,5,5,1,0,0,0,4,0,70,8,44,21,81,7,0,72,414,0
257,3560,445,2128,0,775,-103,-26,-28,-2,1717,887,900,879,-479,672,879,234,698,32,32,8387,4811,52,0,0,5,1,110,50,64,1,6,4,1,0,0,0,4,1,70,8,44,21,81,0,8,72,414,0
258,3608,451,2128,2128,2275,-235,4,6,2,1605,0,0,0,-7,2039,2510,217,620,0,0,3323,11,53,0,0,0,0,0,0,0,0,6,4,1,0,6,0,0,0,0,0,0,0,0,0,0,72,414,0
259,3656,457,2128,2128,2230,410,0,0,0,1614,0,0,0,-69,2641,1820,509,506,0,0,5257,1225,53,0,0,0,0,0,0,0,0,6,4,1,0,6,0,0,0,0,0,0,0,0,0,0,72,414,0
260,3704,463,2128,2128,2184,-270,4,6,2,1611,0,0,0,29,1913,2455,579,621,0,0,3299,1104,53,0,0,0,0,0,0,0,0,6,4,1,0,6,0,0,0,0,0,0,0,0,0,0,72,414,0
261,3752,469,2128,2128,2080,96,2,4,2,1615,0,0,0,-21,2176,1983,816,801,0,0,3439,1097,53,0,0,0,0,0,0,0,0,6,4,1,0,6,0,0,0,0,0,0,0,0,0,0,72,414,0
262,3800,475,2128,2128,2044,-254,4,4,0,1625,0,0,0,29,1790,2298,872,887,0,0,3452,1099,53,0,0,0,0,0,0,0,0,6,4,1,0,6,0,0,0,0,0,0,0,0,0,0,72,414,0
263,3848,481,2128,2128,2008,-169,2,4,2,1624,0,0,0,16,1839,2178,947,956,0,0,3355,1101,53,0,0,0,0,0,0,0,0,6,4,1,0,6,0,0,0,0,0,0,0,0,0,0,72,414,0
264,3896,487,2128,2128,1982,-122,2,4,2,1626,0,0,0,8,1860,2104,1006,1002,0,0,5281,1230,53,0,0,0,0,0,0,0,0,6,4,1,0,6,0,0,0,0,0,0,0,0,0,0,72,414,0
265,3944,493,2128,2128,1962,-64,2,2,0,1632,0,0,0,0,1897,2026,1052,1037,0,0,3373,1092,53,0,0,0,0,0,0,0,0,6,4,1,0,6,0,0,0,0,0,0,0,0,0,0,72,414,0
266,3992,499,2128,2128,1943,39,2,2,0,1632,0,0,0,-8,1983,1904,1080,1082,0,0,3487,1094,53,0,0,0,0,0,0,0,0,6,4,1,0,6,0,0,0,0,0,0,0,0,0,0,72,414,0
267,4040,505,2128,2128,1926,-160,2,0,-2,1633,0,0,0,12,1766,2086,1087,1144,0,0,3606,1073,52,0,0,0,0,0,0,0,0,6,4,1,0,6,0,0,0,0,0,0,0,0,0,0,72,414,0
268,4088,511,2128,2128,1942,-356,0,2,2,1637,0,0,0,41,1585,2298,1074,1095,0,0,3596,2750,49,0,0,0,0,0,0,0,0,6,4,1,0,6,0,0,0,68,6,42,23,83,0,0,72,414,0
269,4096,512,2128,0,420,-535,0,2,2,1641,0,900,955,38,-114,955,1092,1113,1,1,3596,3139,49,4,0,3,1,80,50,64,0,6,4,1,0,0,0,4,0,80,12,48,24,84,0,5,80,512,0
270,4104,513,2128,0,810,-1039,0,2,2,1641,0,900,1850,21,-229,1850,1101,1104,2,2,3596,3139,49,4,0,3,1,80,50,64,0,6,4,1,0,0,0,4,0,80,12,48,24,84,0,0,80,512,0
271,4112,514,2128,0,809,-1040,-6,0,6,1637,4,900,1850,-13,-231,1850,1101,1104,3,3,5602,2363,8,4,0,3,1,96,50,64,0,6,4,1,0,0,0,4,0,96,12,48,24,84,0,0,80,512,0
272,4120,515,2128,0,809,-1040,-6,0,6,1632,9,900,1850,-41,-231,1850,1103,1090,4,4,5602,2363,8,4,0,3,1,96,50,64,0,6,4,1,0,0,0,4,0,96,12,48,24,84,64,0,80,512,0
273,4128,516,2128,0,809,-1040,-6,0,6,1613,28,900,1850,-128,-231,1850,1107,1088,5,5,5602,2363,8,4,0,3,1,96,50,64,0,6,4,1,0,0,0,4,0,96,12,48,24,84,0,0,80,512,0
274,4136,517,2128,0,812,-1037,2,2,0,1594,46,900,1850,-157,-225,1850,1079,1080,6,6,8173,1057,51,4,0,3,1,96,50,64,0,6,4,1,0,0,0,4,1,96,12,48,24,84,0,2,80,512,0
275,4144,518,2128,0,812,-1037,2,2,0,1583,57,900,1850,-178,-225,1850,1079,1080,7,7,8173,1057,51,4,0,3,1,96,50,64,0,6,4,1,0,0,0,4,0,96,12,48,24,84,0,0,80,512,0
276,4152,519,2128,0,822,-1027,8,8,0,1559,81,900,1850,-223,-205,1850,1018,1110,8,8,8375,1057,52,4,0,3,1,96,50,64,0,6,4,1,0,0,0,4,0,96,12,48,24,84,0,0,80,512,0
277,4160,520,2128,0,822,-1027,8,8,0,1546,95,900,1850,-237,-205,1850,883,1113,9,9,8375,4811,52,4,0,3,1,96,50,64,0,6,4,1,0,0,0,4,1,96,12,48,24,84,0,0,80,512,0
278,4168,521,2128,0,822,-1027,8,8,0,1514,127,900,1850,-292,-205,1850,786,1099,10,10,8375,4811,52,4,0,3,1,96,50,64,0,6,4,1,0,0,0,4,0,96,12,48,24,84,0,0,80,512,0
279,4176,522,2128,0,802,-978,16,18,2,1476,165,900,1781,-348,-176,1781,659,1077,11,11,8346,4670,52,4,0,3,1,96,50,64,0,6,4,1,0,0,0,4,1,96,12,48,24,84,0,0,80,512,0
280,4184,523,2128,0,825,-1001,16,18,2,1461,180,900,1827,-333,-176,1827,659,1077,12,12,8346,4670,52,4,0,3,1,96,50,64,0,6,4,1,0,0,0,4,0,96,12,48,24,84,0,0,80,512,0
281,4192,524,2128,0,841,-977,28,30,2,1431,210,900,1818,-313,-136,1818,675,1096,13,13,9761,4670,51,4,0,3,1,96,50,64,0,6,4,1,0,0,0,4,0,96,12,48,24,84,0,0,80,512,0
282,4200,525,2128,0,841,-977,28,30,2,1416,225,900,1818,-310,-136,1818,587,1080,14,14,9761,4793,51,4,0,3,1,96,50,64,0,6,4,1,0,0,0,4,1,96,12,48,24,84,0,0,80,512,0
283,4208,526,2128,0,833,-969,28,30,2,1381,260,900,1802,-328,-136,1802,588,1070,15,15,9761,4793,51,4,0,3,1,96,50,64,0,6,4,1,0,0,0,4,0,96,12,48,24,84,0,0,80,512,0
284,4216,527,2128,0,796,-886,42,44,2,1345,296,900,1682,-352,-90,1682,513,1037,16,16,8544,982,48,4,1,3,1,96,50,64,0,6,4,1,0,0,0,4,0,96,12,48,24,84,11,0,80,512,0
285,4224,528,2128,0,791,-881,42,44,2,1327,314,900,1672,-355,-90,1672,513,1037,17,17,8544,982,48,4,1,3,1,96,50,64,0,6,4,1,0,0,0,4,0,96,12,48,24,84,11,0,80,512,0
286,4232,529,2128,0,792,-1023,58,60,2,1291,349,900,1815,-354,-231,1815,441,1002,18,18,7515,2256,27,4,1,3,1,96,50,64,0,6,4,1,0,0,0,4,0,58,12,48,24,84,11,0,80,512,0
287,4240,530,2128,0,779,-1010,58,60,2,1273,368,900,1790,-363,-231,1790,447,983,19,19,7515,2256,27,4,1,3,1,96,50,64,0,6,4,1,0,0,0,4,0,58,12,48,24,84,11,0,80,512,0
288,4248,531,2128,0,785,-1016,0,0,0,1237,404,900,1802,-359,-231,1802,474,967,20,20,4871,20,0,4,1,3,1,96,50,64,0,6,4,1,0,0,1,4,0,58,12,48,24,84,11,0,80,512,0
289,4256,532,2128,0,766,-997,0,0,0,1199,441,900,1763,-371,-231,1763,474,967,21,21,4871,20,0,4,1,3,1,96,50,64,0,6,4,1,0,0,1,4,0,58,12,48,24,84,11,0,80,512,0
290,4264,533,2128,0,762,-994,0,0,0,1181,460,900,1756,-374,-231,1756,478,959,22,22,4871,20,0,4,1,3,1,96,50,64,0,6,4,1,0,0,1,4,0,58,12,48,24,84,11,0,80,512,0
