seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,battery_x10,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail,turn_mark,hard_enter_ip,hard_enter_tick,pre_seen_frames
0,48,6,2552,2552,2928,-338,2,2,0,17,0,0,0,47,2589,3267,1,2,0,0,7302,934,118,44,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,96,12,2552,2552,2815,-110,-2,-4,-2,39,0,0,0,12,2705,2926,256,199,0,0,5370,1023,118,49,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,144,18,2552,2552,2639,344,-4,-4,0,19,0,0,0,-53,2984,2295,570,589,0,0,3581,1055,118,50,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3,192,24,2552,2552,2497,-687,-4,-4,0,43,0,0,0,84,1810,3184,869,859,0,0,3638,1011,118,48,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
4,240,30,2552,2552,2443,22,-8,-8,0,16,0,0,0,-54,2465,2421,966,980,0,0,3706,931,118,44,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
5,288,36,2552,2552,2372,-315,-10,-8,2,12,0,0,0,-17,2057,2688,1098,1129,0,0,6935,858,118,41,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
6,336,42,2552,0,1136,-810,-12,-10,2,2,0,850,1947,-63,325,1947,1221,1225,1,1,5361,750,118,35,1,0,3,1,30,38,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,42,0
7,344,43,2552,0,1136,-810,-12,-14,-2,-10,12,850,1947,-101,325,1947,1232,1243,2,2,5361,860,118,33,1,0,3,1,30,38,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,42,0
8,352,44,2552,0,1136,-810,-12,-14,-2,-16,18,850,1947,-106,325,1947,1232,1243,3,3,5361,860,118,33,1,0,3,1,30,38,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,42,0
9,360,45,2552,0,1136,-810,-12,-12,0,-35,37,850,1947,-153,325,1947,1240,1286,4,4,7429,2472,118,27,1,0,3,1,56,38,30,0,0,0,0,0,0,0,0,0,56,0,36,29,89,0,2,30,42,0
10,368,46,2552,0,1136,-810,-12,-12,0,-45,47,850,1947,-167,325,1947,1241,1324,5,5,7429,2472,118,27,1,0,3,1,56,38,30,0,0,0,0,0,0,0,0,0,56,0,36,29,89,0,0,30,42,0
11,376,47,2552,0,1136,-810,-12,-12,0,-68,70,850,1947,-206,325,1947,1224,1329,6,6,7429,2472,118,27,1,0,3,1,56,38,30,0,0,0,0,0,0,0,0,0,56,0,36,29,89,0,0,30,42,0
12,384,48,2552,0,1136,-810,-8,-28,-20,-94,96,850,1947,-235,325,1947,1224,1329,7,7,7024,2680,118,22,1,1,3,1,66,38,30,0,0,0,0,0,0,0,0,0,66,5,41,30,90,2,0,30,42,0
13,392,49,2552,0,1136,-810,-8,-28,-20,-108,110,850,1947,-255,325,1947,1165,1325,8,8,7024,2680,118,22,1,1,3,1,66,38,30,0,0,0,0,0,0,0,0,0,66,5,41,30,90,2,0,30,42,0
14,400,50,2552,0,1136,-810,-8,-28,-20,-137,139,850,1947,-275,325,1947,1120,1327,9,9,8057,2680,118,22,1,1,3,1,66,38,30,0,0,0,0,0,0,0,0,0,66,5,41,30,90,2,0,30,42,0
15,408,51,2552,0,1136,-810,-2,-8,-6,-151,153,850,1947,-275,325,1947,1078,1339,10,10,8057,2976,118,16,4,1,3,1,80,38,30,0,0,0,0,0,0,0,4,0,80,12,48,29,89,2,0,30,42,0
16,416,52,2552,0,1136,-810,-2,-8,-6,-179,181,850,1947,-278,325,1947,1078,1339,11,11,8057,2976,118,16,4,1,3,1,80,38,30,0,0,0,0,0,0,0,4,0,80,12,48,29,89,2,0,30,42,0
17,424,53,2552,0,1136,-810,-14,0,14,-208,210,850,1947,-283,325,1947,1078,1339,12,12,6771,332,118,12,4,1,3,1,92,38,30,0,0,0,0,0,0,0,4,0,92,12,48,29,89,2,0,30,42,0
18,432,54,2552,0,1136,-810,-14,0,14,-223,225,850,1947,-287,325,1947,1078,1339,13,13,6771,332,118,12,4,1,3,1,92,38,30,0,0,0,0,0,0,0,4,0,92,12,48,29,89,2,0,30,42,0
19,440,55,2552,0,1136,-810,-30,0,30,-255,257,850,1947,-307,325,1947,984,1279,14,14,6353,323,118,12,4,1,3,1,94,38,30,0,0,0,0,0,0,0,4,1,94,12,48,29,89,2,0,30,42,0
20,448,56,2552,0,1136,-810,-30,0,30,-271,273,850,1947,-316,325,1947,944,1271,15,15,6353,323,118,12,4,1,3,1,94,38,30,0,0,0,0,0,0,0,4,1,94,12,48,29,89,2,0,30,42,0
21,456,57,2552,0,1136,-810,-30,0,30,-305,307,850,1947,-327,325,1947,914,1262,16,16,5974,323,118,12,4,1,3,1,94,38,30,0,0,0,0,0,0,0,4,1,94,12,48,29,89,2,0,30,42,0
22,464,58,2552,0,1136,-810,-46,0,46,-336,338,850,1947,-320,325,1947,914,1262,17,17,5974,3888,118,11,4,1,3,1,98,38,30,0,0,0,0,0,0,0,4,1,98,12,48,29,89,7,0,30,42,0
23,472,59,2552,0,1136,-810,-46,0,46,-353,355,850,1947,-325,325,1947,877,1242,18,18,5974,3888,118,11,4,1,3,1,98,38,30,0,0,0,0,0,0,0,4,0,98,12,48,29,89,7,0,30,42,0
24,480,60,2552,0,1136,-810,-62,0,62,-385,387,850,1947,-314,325,1947,845,1218,19,19,5789,4139,118,8,4,1,3,1,110,38,30,0,0,0,0,0,0,0,4,0,110,12,48,29,89,7,0,30,42,0
25,488,61,2552,0,1136,-810,-62,0,62,-399,401,850,1947,-307,325,1947,838,1201,20,20,5789,4139,118,8,4,1,3,1,110,38,30,0,0,0,0,0,0,0,4,0,110,12,48,29,89,7,0,30,42,0
26,496,62,2552,0,1122,-797,0,0,0,-438,440,850,1920,-349,325,1920,820,1194,21,21,4918,12,118,0,4,1,3,1,110,38,30,0,0,0,0,0,0,1,4,0,110,12,48,29,89,7,0,30,42,0
27,504,63,2552,0,1136,-810,0,0,0,-471,473,850,1947,-338,325,1947,820,1194,22,22,4918,12,118,0,4,1,3,1,110,38,30,0,0,0,0,0,0,1,4,0,110,12,48,29,89,7,0,30,42,0
28,512,64,2552,0,1136,-810,0,0,0,-488,490,850,1947,-340,325,1947,806,1176,23,23,4918,12,118,0,4,1,3,1,110,38,30,0,0,0,0,0,0,1,4,0,110,12,48,29,89,7,0,30,42,0
29,520,65,2552,0,1136,-810,0,0,0,-521,524,850,1947,-334,325,1947,771,1168,24,24,6411,12,118,0,4,1,3,1,110,38,30,0,0,0,0,0,0,1,4,0,110,12,48,29,89,7,0,30,42,0
30,528,66,2552,0,1136,-810,0,0,0,-538,540,850,1947,-332,325,1947,771,1168,25,25,6411,12,118,0,4,1,3,1,110,38,30,0,0,0,0,0,0,1,4,0,110,12,48,29,89,7,0,30,42,0
31,536,67,2552,0,1136,-810,0,0,0,-571,573,850,1947,-333,325,1947,771,1168,26,26,4919,12,118,0,4,1,3,1,110,38,30,0,0,0,0,0,0,1,4,0,110,12,48,29,89,7,0,30,42,0
32,544,68,2552,0,1136,-810,0,0,0,-605,607,850,1947,-334,325,1947,771,1168,27,27,4919,12,118,0,4,1,3,1,110,38,30,0,0,0,0,0,0,1,4,0,110,12,48,29,89,7,0,30,42,0
33,552,69,2552,0,1136,-810,0,0,0,-622,624,850,1947,-334,325,1947,731,1116,28,28,4919,12,118,0,4,1,3,1,110,38,30,0,0,0,0,0,0,1,4,0,110,12,48,29,89,7,0,30,42,0
