seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,battery_x10,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail,turn_mark,hard_enter_ip,hard_enter_tick,pre_seen_frames
0,48,6,2552,2552,2929,-312,2,4,2,15,0,0,0,49,2617,3242,0,-1,0,0,7131,962,120,47,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,96,12,2552,2552,2804,-17,0,0,0,34,0,0,0,6,2787,2821,275,226,0,0,4224,989,120,48,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,144,18,2552,2552,2632,-278,0,0,0,31,0,0,0,35,2353,2910,553,637,0,0,3937,1061,120,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3,192,24,2552,2552,2531,420,-4,-4,0,30,0,0,0,-58,2951,2110,806,788,0,0,3851,1080,120,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
4,240,30,2552,2552,2445,-658,-6,-4,2,40,0,0,0,80,1786,3103,941,997,0,0,3845,999,120,51,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
5,288,36,2552,2552,2382,-182,-8,-6,2,38,0,0,0,-15,2199,2565,1083,1104,0,0,7007,891,120,43,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
6,336,42,2552,2552,2332,-640,-10,-8,2,44,0,0,0,23,1692,2972,1182,1206,0,0,3741,1187,120,51,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,384,48,2552,2552,2296,681,-10,-6,4,-2,0,0,0,-152,2977,1615,1253,1279,0,0,3932,1022,120,50,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
8,432,54,2552,2552,2259,-680,-6,-2,4,-3,0,0,0,49,1578,2940,1287,1393,0,0,3938,1002,120,49,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,480,60,2552,2552,2240,-25,-4,2,6,-24,0,0,0,-31,2215,2265,1342,1415,0,0,3752,937,119,46,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
