seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,battery_x10,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,ip_visual_row,ip_ctrl_row,ip_ctrl_dir,ip_ctrl_score,ip_ctrl_reason,fast_ra_type,fast_front,fast_left,fast_right,line_takeover_ready,line_takeover_cnt,exit_boost_active,exit_boost_cnt,hard_outer_dynamic,yaw_pred,yaw_remain,outer_scale,takeover_valid_rows,takeover_error,takeover_lookahead,takeover_trend,box_top,box_bottom,box_left,box_right,pre_detail,turn_mark,hard_enter_ip,hard_enter_tick,pre_seen_frames
0,48,6,2552,2552,2929,-211,4,6,2,5,0,0,0,39,2717,3141,0,0,0,0,6828,1260,119,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
1,96,12,2552,2552,2821,-286,2,2,0,32,0,0,0,46,2534,3107,238,196,0,0,3426,1405,119,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2,144,18,2552,2552,2666,100,0,0,0,32,0,0,0,-10,2767,2565,526,526,0,0,3458,1271,119,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
3,192,24,2552,2552,2525,-201,0,0,0,30,0,0,0,28,2324,2727,788,827,0,0,3519,1272,119,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
4,240,30,2552,2552,2435,290,-6,-6,0,39,0,0,0,-47,2726,2144,1018,959,0,0,3418,1259,119,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
5,288,36,2552,2552,2371,-115,-6,-6,0,37,0,0,0,-7,2255,2486,1110,1123,0,0,6888,1243,119,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
6,336,42,2552,2552,2317,-270,-8,-6,2,33,0,0,0,-5,2047,2588,1213,1234,0,0,3474,1406,119,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
7,384,48,2552,2552,2290,-240,-8,-6,2,14,0,0,0,-21,2049,2530,1265,1293,0,0,3491,1242,119,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
8,432,54,2552,2552,2252,86,-8,-4,4,-4,0,0,0,-62,2339,2165,1341,1368,0,0,3577,1223,119,51,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
9,480,60,2552,2552,2232,-88,-6,-2,4,-12,0,0,0,-25,2144,2321,1384,1404,0,0,3639,1179,119,48,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
10,528,66,2552,2552,2217,-67,-4,0,4,-22,0,0,0,-9,2150,2285,1405,1442,0,0,6999,1070,119,43,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
11,568,71,2552,0,979,-1239,-2,2,4,-25,0,800,2218,9,-260,2218,1434,1458,1,1,3567,1123,119,39,1,0,3,1,12,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1850,2,797,100,39,-2,2,4,0,0,0,0,0,5,12,71,0
12,576,72,2552,0,979,-1239,-2,2,4,-25,0,800,2218,7,-260,2218,1434,1458,2,2,3567,1123,119,39,1,0,3,1,12,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1850,2,797,100,39,-2,2,4,0,0,0,0,0,0,12,71,0
13,584,73,2552,0,979,-1239,-2,2,4,-28,2,800,2218,-14,-260,2218,1444,1483,3,3,3567,1123,119,39,1,0,3,1,12,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1850,6,793,100,39,-2,2,4,0,0,0,0,0,0,12,71,0
14,592,74,2552,0,979,-1239,0,0,0,-35,10,800,2218,-64,-260,2218,1462,1479,4,4,8048,906,119,34,1,0,3,1,12,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1850,29,770,100,34,0,0,0,0,0,0,0,64,0,12,71,0
