seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail,turn_mark,hard_enter_ip,hard_enter_tick,pre_seen_frames
0,32,4,2128,2128,2468,35,6,6,0,-2,0,0,0,0,2504,2432,0,0,0,0,6959,1098,48,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,64,8,2128,2128,2468,-423,2,4,2,17,0,0,0,70,2045,2891,32,22,0,0,4134,970,48,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,88,11,1895,1612,2047,-200,0,2,2,29,0,0,0,37,1846,2248,183,137,0,0,5488,593,29,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,1
3,96,12,1662,1612,1802,-30,0,2,2,28,0,0,0,12,1772,1833,183,137,0,0,5488,593,29,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,2
4,104,13,1612,1612,1810,-39,0,0,0,29,0,0,0,8,1770,1850,243,188,0,0,6246,957,48,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,3
5,112,14,1612,1612,1810,-50,0,0,0,29,0,0,0,8,1759,1860,286,244,0,0,6246,957,48,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,4
6,120,15,1612,0,1123,-800,0,0,0,32,0,900,1924,16,322,1924,328,305,1,1,6246,957,48,1,0,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,70,15,4
7,128,16,1612,0,1123,-800,0,0,0,34,0,900,1924,25,322,1924,328,305,2,2,5991,1079,53,1,0,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,15,4
8,136,17,1612,0,1123,-800,0,0,0,31,0,900,1924,-9,322,1924,328,305,3,3,5991,1079,53,1,0,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,15,4
9,144,18,1612,0,1123,-800,0,0,0,26,5,900,1924,-40,322,1924,328,305,4,4,5991,1079,53,1,0,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,70,15,4
10,152,19,1612,0,1123,-800,0,-2,-2,11,20,900,1924,-105,322,1924,458,433,5,5,9853,778,37,1,0,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,15,4
11,160,20,1612,0,1123,-800,0,-2,-2,-7,40,900,1924,-159,322,1924,478,475,6,6,9853,778,37,1,0,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,70,15,4
12,168,21,1612,0,1123,-794,2,2,0,-18,50,900,1918,-179,329,1918,471,506,7,7,8459,942,46,1,0,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,15,4
13,176,22,1612,0,1123,-794,2,2,0,-40,72,900,1918,-199,329,1918,471,506,8,8,8459,942,46,1,0,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,15,4
14,184,23,1612,0,1123,-775,8,8,0,-51,83,900,1898,-207,348,1898,454,532,9,9,8377,942,50,1,0,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,15,4
15,192,24,1612,0,1123,-775,8,8,0,-75,107,900,1898,-224,348,1898,430,547,10,10,8377,4634,50,1,0,3,1,70,50,70,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,70,15,4
16,200,25,1612,0,1123,-775,8,8,0,-99,131,900,1898,-238,348,1898,409,561,11,11,8377,4634,50,1,0,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,15,4
17,208,26,1612,0,1123,-746,16,18,2,-112,144,900,1870,-247,376,1870,392,582,12,12,8486,965,47,1,0,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,15,4
18,216,27,1612,0,1123,-746,16,18,2,-141,173,900,1870,-270,376,1870,392,582,13,13,8486,965,47,1,0,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,15,4
19,224,28,1612,0,1123,-717,26,26,0,-155,187,900,1840,-275,406,1840,381,598,14,14,8488,965,46,1,0,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,15,4
20,232,29,1612,0,1123,-717,26,26,0,-185,217,900,1840,-291,406,1840,369,613,15,15,8488,1084,46,1,0,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,15,4
21,240,30,1612,0,1123,-717,26,26,0,-213,245,900,1840,-284,406,1840,369,613,16,16,8488,1084,46,1,0,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,15,4
22,248,31,1612,0,1123,-682,36,38,2,-227,259,900,1805,-281,441,1805,369,613,17,17,8497,967,47,1,1,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,70,15,4
23,256,32,1612,0,1123,-682,36,38,2,-253,285,900,1805,-267,441,1805,369,613,18,18,8497,967,47,1,1,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,70,15,4
24,264,33,1612,0,1123,-800,0,0,0,-266,298,900,1924,-265,322,1924,346,618,19,19,6348,63,0,1,1,3,1,70,50,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,70,15,4
25,272,34,1612,0,1123,-800,0,0,0,-292,324,900,1924,-264,322,1924,342,614,20,20,6348,63,0,1,1,3,1,70,50,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,70,15,4
26,280,35,1612,0,1123,-800,0,0,0,-321,353,900,1924,-278,322,1924,342,610,21,21,4845,63,0,1,1,3,1,70,50,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,70,15,4
27,288,36,1612,0,1123,-800,0,0,0,-336,368,900,1924,-287,322,1924,342,610,22,22,4845,63,0,1,1,3,1,70,50,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,70,15,4
28,296,37,1612,0,1123,-800,0,0,0,-365,397,900,1924,-285,322,1924,344,605,23,23,4845,63,0,1,1,3,1,70,50,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,70,15,4
29,304,38,1612,0,1123,-800,0,0,0,-379,411,900,1924,-286,322,1924,345,606,24,24,5047,64,0,1,1,3,1,70,50,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,70,15,4
30,312,39,1612,0,1123,-800,0,0,0,-408,440,900,1924,-285,322,1924,337,604,25,25,5047,64,0,1,1,3,1,70,50,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,70,15,4
31,320,40,1612,0,1123,-800,0,0,0,-437,469,900,1924,-290,322,1924,329,610,26,26,4888,68,0,1,1,3,1,70,50,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,70,15,4
32,328,41,1612,0,1123,-800,0,0,0,-452,484,900,1924,-297,322,1924,329,610,27,27,4888,68,0,1,1,3,1,70,50,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,70,15,4
33,336,42,1612,0,1123,-800,0,0,0,-482,514,900,1924,-300,322,1924,324,611,28,28,4888,68,0,1,1,3,1,70,50,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,70,15,4
34,344,43,1612,0,1123,-800,0,0,0,-498,530,900,1924,-304,322,1924,315,610,29,29,5037,63,0,1,0,3,1,70,50,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70,15,4
35,352,44,1612,0,1116,-794,0,0,0,-533,565,900,1910,-329,322,1910,315,610,30,30,5037,63,0,1,0,3,1,70,50,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70,15,4
36,360,45,1612,0,1123,-800,0,0,0,-565,597,900,1924,-324,322,1924,315,610,31,31,4888,63,0,1,0,3,1,70,50,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70,15,4
37,368,46,1612,0,1123,-800,0,0,0,-581,613,900,1924,-322,322,1924,315,610,32,32,4888,63,0,1,0,3,1,70,50,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70,15,4
38,376,47,1612,0,1123,-800,0,0,0,-612,644,900,1924,-317,322,1924,288,595,33,33,4888,63,0,1,0,3,1,70,50,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70,15,4
39,384,48,1612,0,1123,-800,0,0,0,-628,660,900,1924,-317,322,1924,274,586,34,34,6397,63,0,1,0,3,1,70,50,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70,15,4
40,392,49,1612,0,1123,-800,0,0,0,-660,692,900,1924,-318,322,1924,266,579,35,35,6397,63,0,1,0,3,1,70,50,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70,15,4
41,400,50,1612,0,1110,-788,0,0,0,-694,726,900,1899,-333,322,1899,266,579,36,36,4900,63,0,1,0,3,1,70,50,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70,15,4
42,408,51,1612,0,1100,-777,0,0,0,-712,744,900,1878,-339,322,1878,264,574,37,37,4900,63,0,1,0,3,1,70,50,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70,15,4
43,416,52,1612,0,1075,-752,0,0,0,-749,781,900,1827,-356,322,1827,261,571,38,38,4900,63,0,1,0,3,1,70,50,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70,15,4
44,424,53,1612,0,1070,-747,0,0,0,-767,799,900,1817,-360,322,1817,256,579,39,39,5047,63,0,1,0,3,1,70,50,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70,15,4
45,432,54,1612,0,1063,-740,0,0,0,-804,836,900,1804,-364,322,1804,251,585,40,40,5047,63,0,1,0,3,1,70,50,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70,15,4
46,440,55,1612,0,756,-433,0,0,0,-841,873,900,1190,-369,322,1190,251,585,41,41,4900,63,0,1,0,3,1,70,50,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70,15,4
47,448,56,1612,0,1400,662,0,0,0,-859,891,900,1190,-364,2062,737,239,583,42,42,4900,63,0,0,0,4,1,70,50,70,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70,15,0
48,456,57,1612,0,1400,614,0,0,0,-892,924,900,1190,-345,2014,785,231,581,43,42,4900,63,0,0,0,4,1,70,50,70,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70,15,0
49,464,58,1612,0,1400,500,0,0,0,-903,935,900,1190,-300,1900,899,227,575,44,42,3143,63,0,0,0,4,1,70,50,70,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70,15,0
50,472,59,1612,0,1400,240,0,0,0,-915,947,900,1190,-196,1640,1159,227,575,45,42,3143,63,0,0,0,4,1,70,50,70,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70,15,0
51,480,60,1612,0,1400,43,0,0,0,-921,953,900,1190,-117,1443,1356,227,573,46,42,3012,63,0,0,0,5,1,70,50,70,5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,70,15,0
52,488,61,1612,0,756,-100,0,0,0,-924,956,900,857,-93,655,857,240,556,47,42,3012,63,0,0,0,5,1,70,50,70,5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,70,15,0
