seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail,turn_mark,hard_enter_ip,hard_enter_tick,pre_seen_frames
253,3480,435,1735,0,769,-102,-22,-16,6,1579,902,900,871,-464,666,871,274,708,33,33,9669,1065,53,0,0,5,1,110,50,64,2,6,4,1,0,0,0,4,0,110,12,48,12,72,0,8,80,403,0
254,3488,436,1735,0,769,-102,-22,-16,6,1533,947,900,871,-454,666,871,241,696,34,33,9669,1196,53,0,0,5,1,110,50,64,2,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,80,403,0
255,3536,442,2128,2128,2275,-731,8,16,8,1463,0,0,0,65,1543,3006,242,594,0,0,5240,11,53,0,0,0,0,0,0,0,0,6,4,1,0,6,0,0,0,0,0,0,0,0,0,0,80,403,0
256,3584,448,2128,2128,2242,542,4,10,6,1477,0,0,0,-68,2785,1699,486,482,0,0,3331,4852,53,0,0,0,0,0,0,0,0,6,4,1,0,4,0,0,1,0,0,0,0,0,0,0,80,403,0
257,3632,454,2128,2128,2141,381,12,18,6,1468,0,0,0,6,2523,1759,671,700,0,0,3310,4853,53,0,0,0,0,0,0,0,0,6,4,1,0,6,0,0,0,0,0,0,0,0,0,0,80,403,0
258,3680,460,2128,2128,2073,367,16,18,2,1497,0,0,0,37,2441,1706,840,803,0,0,3483,4713,53,0,0,0,0,0,0,0,0,6,4,1,0,4,0,0,1,0,0,0,0,0,0,0,80,403,0
259,3728,466,2128,2128,2030,-55,14,16,2,1541,0,0,0,87,1974,2086,940,876,0,0,6785,4783,53,0,0,0,0,0,0,0,0,6,4,1,0,4,0,0,1,0,0,0,0,0,0,0,80,403,0
260,3776,472,2128,2128,2001,-319,12,12,0,1574,0,0,0,110,1682,2320,986,944,0,0,5290,4555,53,0,0,0,0,0,0,0,0,6,4,1,0,6,0,0,0,0,0,0,0,0,0,0,80,403,0
261,3824,478,2128,2128,1972,51,10,10,0,1591,0,0,0,51,2023,1921,1051,998,0,0,3389,4839,53,0,0,0,0,0,0,0,0,6,4,1,0,4,0,0,1,0,0,0,0,0,0,0,80,403,0
262,3872,484,2128,2128,1955,-121,8,6,-2,1621,0,0,0,62,1833,2077,1078,1036,0,0,3391,1079,53,0,0,0,0,0,0,0,0,6,4,1,0,6,0,0,0,0,0,0,0,0,0,0,80,403,0
