seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,battery_x10,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail,turn_mark,hard_enter_ip,hard_enter_tick,pre_seen_frames
0,8,1,0,0,835,-1015,0,0,0,-6,0,800,1850,0,-180,1850,-1,0,1,1,4997,478,120,0,1,0,3,1,18,38,18,0,0,0,0,0,0,1,0,0,110,23,59,9,69,0,5,18,1,0
1,16,2,0,0,835,-1015,0,0,0,-7,0,800,1850,-4,-180,1850,-1,0,2,2,4997,478,120,0,1,0,3,1,110,38,18,0,0,0,0,0,0,1,0,0,110,23,59,9,69,0,0,18,1,0
2,24,3,0,0,835,-1015,0,0,0,-15,8,800,1850,-46,-180,1850,-2,-1,3,3,4997,478,120,0,1,0,3,1,110,38,18,0,0,0,0,0,0,1,0,0,110,23,59,9,69,0,0,18,1,0
3,32,4,0,0,835,-1015,0,0,0,-18,12,800,1850,-56,-180,1850,0,-1,4,4,4997,478,120,0,1,0,3,1,110,38,18,0,0,0,0,0,0,1,0,0,110,23,59,9,69,192,0,18,1,0
4,40,5,0,0,835,-1015,0,0,0,-27,21,800,1850,-77,-180,1850,0,-1,5,5,4889,57,120,0,1,0,3,1,110,38,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,192,0,18,1,0
5,48,6,0,0,835,-1015,0,0,0,-34,27,800,1850,-93,-180,1850,0,-1,6,6,4889,57,120,0,1,0,3,1,110,38,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,1,0
6,56,7,0,0,835,-1015,0,0,0,-49,43,800,1850,-130,-180,1850,-3,15,7,7,4889,57,120,0,1,0,3,1,110,38,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,1,0
7,64,8,0,0,835,-1015,0,0,0,-67,61,800,1850,-159,-180,1850,-7,33,8,8,4889,57,120,0,1,0,3,1,110,38,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,18,1,0
8,72,9,0,0,835,-1015,0,0,0,-76,69,800,1850,-164,-180,1850,-8,56,9,9,4889,57,120,0,1,0,3,1,110,38,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,1,0
9,80,10,0,0,835,-1015,0,0,0,-95,89,800,1850,-182,-180,1850,-13,81,10,10,5055,92,120,0,1,0,3,1,110,38,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,1,0
10,88,11,0,0,1062,-1062,0,0,0,-106,99,800,2125,-192,0,2125,-13,81,11,11,5055,92,120,0,1,0,3,1,110,38,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,1,0
11,96,12,0,0,1071,-1071,0,0,0,-128,122,800,2142,-211,0,2142,-16,106,12,12,5055,92,119,0,1,0,3,1,110,38,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,1,0
12,104,13,0,0,1071,-1004,20,22,2,-150,143,800,2075,-214,66,2075,-18,130,13,13,9973,957,119,45,1,0,3,1,110,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
13,112,14,0,0,1071,-1004,20,22,2,-162,155,800,2075,-223,66,2075,-20,146,14,14,9973,957,119,45,1,0,3,1,110,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
14,120,15,0,0,1071,-1004,20,22,2,-188,181,800,2075,-244,66,2075,-20,146,15,15,9973,957,119,45,1,0,3,1,110,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
15,128,16,0,0,1071,-978,28,30,2,-202,195,800,2050,-255,92,2050,-22,160,16,16,8655,4630,119,48,1,0,3,1,110,38,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,1,0
16,136,17,0,0,1061,-969,28,30,2,-230,224,800,2030,-274,92,2030,-18,178,17,17,8655,4630,119,48,1,0,3,1,110,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
17,144,18,0,0,1044,-919,38,40,2,-260,253,800,1964,-285,125,1964,-14,197,18,18,8604,939,119,44,1,1,3,1,110,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18,1,0
18,152,19,0,0,1034,-909,38,40,2,-275,268,800,1944,-292,125,1944,-9,221,19,19,8604,939,119,44,1,1,3,1,110,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18,1,0
19,160,20,0,0,1007,-882,38,40,2,-307,301,800,1890,-310,125,1890,-9,221,20,20,8604,939,119,44,1,1,3,1,110,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18,1,0
20,168,21,0,0,997,-872,38,40,2,-324,317,800,1870,-316,125,1870,-2,244,21,21,8604,939,119,44,1,1,3,1,110,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18,1,0
21,176,22,0,0,992,-867,38,40,2,-356,350,800,1860,-320,125,1860,3,263,22,22,8604,939,119,44,1,1,3,1,110,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18,1,0
22,184,23,0,0,987,-987,54,60,6,-389,382,800,1974,-323,0,1974,10,287,23,23,7903,719,119,32,1,1,3,1,110,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,18,1,0
23,192,24,0,0,981,-981,54,60,6,-405,399,800,1963,-327,0,1963,14,306,24,24,7903,719,119,32,1,1,3,1,110,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,18,1,0
24,200,25,0,0,756,-756,0,0,0,-440,434,800,1512,-339,0,1512,14,306,25,25,4921,56,119,0,1,1,3,1,110,38,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,18,1,0
25,208,26,0,0,756,-756,0,0,0,-458,451,800,1512,-345,0,1512,21,322,26,26,4921,56,119,0,1,1,3,1,110,38,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,18,1,0
