seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail
162,1992,249,1500,1500,1157,826,0,0,0,-1366,626,800,1984,420,1984,331,1049,635,26,23,5046,52,0,2,0,3,2,106,70,82,0,2,4,1,0,1,1,0,0,0,0,0,0,0,0
163,2000,250,1500,1500,1159,828,0,0,0,-1324,668,800,1987,419,1987,331,1040,637,27,24,5046,52,0,2,0,3,2,106,70,82,0,2,4,1,0,1,1,0,0,0,0,0,0,0,0
164,2008,251,1500,1500,1162,831,0,0,0,-1304,689,800,1994,416,1994,331,1023,633,28,25,6267,52,0,2,0,3,2,106,70,82,0,2,4,1,0,1,1,0,0,0,0,0,0,0,0
165,2016,252,1500,1500,1151,820,0,0,0,-1261,731,800,1971,424,1971,331,1017,619,29,26,6267,52,0,2,0,3,2,106,70,82,0,2,4,1,0,1,1,0,0,0,0,0,0,0,0
166,2024,253,1500,1500,1104,772,0,0,0,-1239,753,800,1877,426,1877,331,1017,619,30,27,6267,52,0,2,0,3,2,106,70,82,0,2,4,1,0,1,1,0,0,0,0,0,0,0,0
167,2032,254,1500,1500,690,359,0,0,0,-1194,798,800,1049,441,1049,331,1008,610,31,28,5044,52,0,2,0,3,2,106,70,82,0,2,4,1,0,1,1,0,0,0,0,0,0,0,0
168,2040,255,1500,1500,775,103,0,0,0,-1154,838,800,879,421,879,672,1003,593,32,29,5044,52,0,0,0,5,2,106,70,82,2,2,4,1,0,1,1,0,0,0,0,0,0,0,0
169,2048,256,1500,1500,775,103,76,74,-2,-1134,858,800,879,410,879,672,1000,581,33,29,4220,608,46,5,0,5,2,106,70,82,2,2,4,1,0,1,0,5,1,36,0,36,2,62,0
170,2056,257,1500,1500,1350,623,76,74,-2,-1101,891,800,879,361,1973,726,991,570,34,29,4220,608,46,5,0,5,2,106,70,82,2,2,4,1,0,1,0,5,1,36,0,36,2,62,0
171,2064,258,1500,1500,1350,969,76,74,-2,-1087,905,800,879,335,2319,380,991,570,35,29,4220,608,46,5,0,5,2,106,70,82,2,2,4,1,0,1,0,5,0,36,0,36,2,62,0
