seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,battery_x10,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail,turn_mark,hard_enter_ip,hard_enter_tick,pre_seen_frames
0,48,6,2552,2552,2925,-91,6,8,2,5,0,0,0,45,2834,3016,9,7,0,0,3500,1097,123,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,96,12,2552,2552,2812,-211,2,2,0,40,0,0,0,40,2600,3023,269,201,0,0,3513,1077,122,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,144,18,2552,2552,2683,49,0,0,0,31,0,0,0,-7,2733,2633,493,490,0,0,3717,1250,122,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3,192,24,2552,2552,2534,-70,-4,-6,-2,59,0,0,0,7,2464,2605,814,766,0,0,5674,1018,122,49,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
4,240,30,2552,2552,2434,-477,-6,-4,2,39,0,0,0,37,1957,2912,964,1016,0,0,6915,1203,122,51,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
5,288,36,2552,2552,2385,-262,-8,-6,2,32,0,0,0,-6,2122,2648,1087,1088,0,0,3884,1078,122,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
6,336,42,2552,2552,2335,-45,-10,-8,2,16,0,0,0,-52,2290,2381,1182,1193,0,0,3660,1078,122,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,384,48,2552,2552,2296,-32,-10,-8,2,13,0,0,0,-51,2263,2328,1263,1270,0,0,3677,1222,122,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
8,432,54,2552,2552,2273,-549,-8,-6,2,7,0,0,0,18,1724,2823,1288,1335,0,0,5712,938,122,45,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,480,60,2552,2552,2265,-541,-8,-2,6,-12,0,0,0,16,1724,2806,1300,1357,0,0,7094,897,122,43,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
10,528,66,2552,2552,2258,-107,-6,-2,4,-24,0,0,0,-32,2151,2366,1334,1350,0,0,3834,917,122,44,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
11,576,72,2552,2552,2249,148,-4,0,4,-37,0,0,0,-47,2397,2101,1352,1369,0,0,3563,837,122,40,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
12,584,73,455,455,0,0,-4,2,6,-38,0,0,0,-27,0,0,1352,1369,1,0,3563,946,122,38,1,0,0,1,0,38,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,592,74,455,455,0,0,-4,2,6,-38,0,0,0,-16,0,0,1343,1384,2,0,3563,946,122,38,1,0,0,1,0,38,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,600,75,455,455,0,0,-4,2,6,-32,0,0,0,23,0,0,1335,1388,3,0,3563,946,122,38,1,0,0,1,0,38,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
