seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,battery_x10,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail,turn_mark,hard_enter_ip,hard_enter_tick,pre_seen_frames
0,48,6,2552,2552,2926,-232,2,2,0,14,0,0,0,33,2694,3159,7,4,0,0,3706,1221,120,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,96,12,2552,2552,2808,-104,-2,-2,0,34,0,0,0,15,2703,2913,262,223,0,0,3594,1078,120,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,144,18,2552,2552,2678,-17,-2,-2,0,25,0,0,0,1,2661,2695,496,509,0,0,6877,1082,119,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3,192,24,2552,2552,2541,1,-6,-8,-2,39,0,0,0,-16,2543,2540,790,761,0,0,3956,1077,119,53,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
4,240,30,2552,2552,2444,-395,-8,-8,0,31,0,0,0,6,2049,2840,960,979,0,0,3825,1202,119,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
5,288,36,2552,2552,2385,-60,-12,-10,2,19,0,0,0,-58,2324,2445,1083,1095,0,0,3577,1204,119,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
6,336,42,2552,2552,2327,-657,-12,-8,4,3,0,0,0,5,1670,2984,1167,1242,0,0,3710,1059,119,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,384,48,2552,2552,2277,16,-8,-4,4,-34,0,0,0,-66,2294,2261,1266,1341,0,0,7041,1033,119,50,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
8,432,54,2552,2552,2245,-512,-8,-4,4,-29,0,0,0,13,1733,2757,1364,1373,0,0,3784,1020,119,50,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,480,60,2552,2552,2222,370,-8,-6,2,-41,0,0,0,-103,2593,1852,1430,1397,0,0,3741,1108,119,47,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
10,528,66,2552,2552,2215,-100,-2,2,4,-61,0,0,0,-9,2115,2316,1385,1470,0,0,3576,1038,119,43,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
11,576,72,2217,1893,1688,-171,0,-2,-2,-62,0,0,0,5,1516,1859,1436,1478,0,0,3688,726,119,35,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,1
12,584,73,2217,0,967,-645,0,-2,-2,-61,0,900,1613,5,322,1613,1445,1477,1,1,3688,726,119,35,1,0,3,1,58,50,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,58,73,1
13,592,74,2217,0,967,-645,0,-2,-2,-62,0,900,1613,0,322,1613,1445,1477,2,2,3688,726,119,35,1,0,3,1,58,50,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,73,1
14,600,75,2217,0,967,-645,0,-16,-16,-65,3,900,1613,-22,322,1613,1470,1467,3,3,7863,686,119,32,1,1,3,1,58,50,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,58,73,1
15,608,76,2217,0,967,-645,0,-16,-16,-73,11,900,1613,-71,322,1613,1470,1465,4,4,7863,686,119,32,1,1,3,1,58,50,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,58,73,1
16,616,77,2217,0,967,-645,0,-16,-16,-88,26,900,1613,-111,322,1613,1464,1490,5,5,7863,686,119,32,1,1,3,1,58,50,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,58,73,1
17,624,78,2217,0,967,-645,4,-12,-16,-97,35,900,1613,-135,322,1613,1464,1490,6,6,8608,2560,119,23,1,1,3,1,66,50,58,0,0,0,0,0,0,0,1,0,66,5,41,23,83,7,0,58,73,1
18,632,79,2217,0,967,-645,4,-12,-16,-114,52,900,1613,-159,322,1613,1400,1496,7,7,8608,2560,119,23,1,1,3,1,66,50,58,0,0,0,0,0,0,0,1,0,66,5,41,23,83,7,2,58,73,1
19,640,80,2217,0,967,-645,8,0,-8,-134,72,900,1613,-182,322,1613,1362,1488,8,8,6618,2668,119,16,4,1,3,1,80,50,58,0,0,0,0,0,0,0,4,0,80,12,48,25,85,7,0,58,73,1
20,648,81,2217,0,967,-645,8,0,-8,-146,84,900,1613,-200,322,1613,1245,1473,9,9,6618,2668,119,16,4,1,3,1,80,50,58,0,0,0,0,0,0,0,4,0,80,12,48,25,85,7,0,58,73,1
21,656,82,2217,0,967,-645,-2,0,2,-171,109,900,1613,-226,322,1613,1205,1470,10,10,5906,2270,119,8,4,1,3,1,96,50,58,0,0,0,0,0,0,0,4,0,96,12,48,25,85,7,0,58,73,1
22,664,83,2217,0,967,-645,-2,0,2,-183,121,900,1613,-231,322,1613,1205,1470,11,11,5906,2270,119,8,4,1,3,1,96,50,58,0,0,0,0,0,0,0,4,0,96,12,48,25,85,7,0,58,73,1
23,672,84,2217,0,967,-645,-2,0,2,-209,147,900,1613,-250,322,1613,1179,1438,12,12,5906,2270,119,8,4,1,3,1,96,50,58,0,0,0,0,0,0,0,4,0,96,12,48,25,85,7,0,58,73,1
24,680,85,2217,0,967,-645,-18,0,18,-233,171,900,1613,-245,322,1613,1145,1402,13,13,5263,3355,119,1,4,1,3,1,110,50,58,0,0,0,0,0,0,0,4,0,110,12,48,25,85,5,0,58,73,1
25,688,86,2217,0,967,-645,-18,0,18,-246,184,900,1613,-244,322,1613,1099,1380,14,14,5263,3355,119,1,4,1,3,1,110,50,58,0,0,0,0,0,0,0,4,0,110,12,48,25,85,5,0,58,73,1
26,696,87,2217,0,967,-645,0,0,0,-274,212,900,1613,-270,322,1613,1034,1372,15,15,5068,20,119,0,4,0,3,1,110,50,58,0,0,0,0,0,0,1,4,0,110,12,48,25,85,0,0,58,73,1
27,704,88,2217,0,967,-645,0,0,0,-285,223,900,1613,-250,322,1613,1034,1372,16,16,5068,20,119,0,4,0,3,1,110,50,58,0,0,0,0,0,0,1,4,0,110,12,48,25,85,0,0,58,73,1
