seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail
699,5600,700,1500,1500,974,662,48,20,-28,-1743,631,800,1637,404,1637,312,928,484,29,27,7529,1532,29,5,1,3,2,96,70,14,0,8,5,2,0,1,0,5,0,54,2,38,5,65,11
700,5608,701,1500,1500,1007,695,48,20,-28,-1726,648,800,1703,382,1703,312,908,474,30,28,7529,1532,29,5,1,3,2,96,70,14,0,8,5,2,0,1,0,5,0,54,2,38,5,65,11
701,5616,702,1500,1500,1069,757,44,40,-4,-1687,687,800,1827,385,1827,312,908,474,31,29,8221,92,51,5,1,3,2,96,70,14,0,8,5,2,0,1,0,5,1,54,2,38,5,65,11
702,5624,703,1500,1500,1076,764,44,40,-4,-1669,705,800,1841,380,1841,312,890,468,32,30,8221,92,51,5,1,3,2,96,70,14,0,8,5,2,0,1,0,5,1,54,2,38,5,65,11
703,5632,704,1500,1500,1113,801,44,40,-4,-1634,740,800,1914,355,1914,312,871,460,33,31,8221,92,51,5,1,3,2,96,70,14,0,8,5,2,0,1,0,5,0,54,2,38,5,65,11
704,5640,705,1500,1500,810,498,38,48,10,-1593,781,800,1309,388,1309,312,853,451,34,32,9485,94,53,5,1,3,2,96,70,14,0,8,5,2,0,1,0,5,0,54,2,38,5,65,11
705,5648,706,1500,1500,731,97,38,48,10,-1574,800,800,829,386,829,634,845,445,35,33,9485,94,53,0,1,5,2,96,70,14,2,8,5,2,0,1,0,5,0,54,2,38,5,65,1
706,5656,707,1500,1500,731,97,28,40,12,-1534,840,800,829,392,829,634,845,445,36,33,8107,95,53,0,0,5,2,96,70,14,2,8,5,2,0,1,0,0,0,0,0,0,0,0,0
707,5664,708,1500,1500,1350,357,28,40,12,-1518,856,800,829,365,1707,992,827,437,37,33,8107,95,53,0,0,5,2,96,70,14,2,8,5,2,0,1,0,0,0,0,0,0,0,0,0
708,5672,709,1500,1500,1350,357,28,40,12,-1490,884,800,829,315,1707,992,820,427,38,33,8107,95,53,0,0,5,2,96,70,14,2,8,5,2,0,1,0,0,0,0,0,0,0,0,0
709,5680,710,1651,1615,1479,-160,16,22,6,-1464,0,0,0,284,1318,1640,805,418,0,0,8089,3226,53,0,0,0,0,0,0,0,0,9,5,2,0,5,0,0,0,0,0,0,0,0,0
710,5688,711,1615,1615,1618,-1049,16,22,6,-1449,0,0,0,289,568,2667,783,419,0,0,8089,3226,53,0,0,0,0,0,0,0,0,9,5,2,0,5,0,0,0,0,0,0,0,0,0
711,5696,712,1748,1748,1885,-1167,8,0,-8,-1426,0,0,0,253,718,3052,783,419,0,0,8072,11,53,0,0,0,0,0,0,0,0,9,5,2,0,6,0,0,0,0,0,0,0,0,0
712,5704,713,1748,1748,1789,-1120,8,0,-8,-1416,0,0,0,231,669,2910,751,431,0,0,8072,11,53,0,0,0,0,0,0,0,0,9,5,2,0,6,0,0,0,0,0,0,0,0,0
