seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail,turn_mark,hard_enter_ip,hard_enter_tick,pre_seen_frames
24,648,81,1397,0,1123,-800,-4,2,6,-62,12,900,1924,-64,322,1924,1162,1175,3,3,8431,823,39,1,1,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,70,79,4
25,656,82,1397,0,1123,-800,-4,2,6,-71,21,900,1924,-104,322,1924,1150,1165,4,4,8431,823,39,1,1,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,70,79,4
26,664,83,1397,0,1123,-800,-2,-10,-8,-89,38,900,1924,-148,322,1924,1133,1147,5,5,8131,764,36,1,1,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,70,79,4
27,672,84,1397,0,1123,-800,-2,-10,-8,-99,49,900,1924,-168,322,1924,1133,1147,6,6,8131,764,36,1,1,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,70,79,4
28,680,85,1397,0,1123,-800,4,-6,-10,-122,71,900,1924,-202,322,1924,1133,1147,7,7,7953,738,34,1,1,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,70,79,4
29,688,86,1397,0,1123,-800,4,-6,-10,-150,99,900,1924,-252,322,1924,1133,1147,8,8,7953,738,34,1,1,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,70,79,4
30,696,87,1397,0,1123,-800,4,-6,-10,-164,114,900,1924,-264,322,1924,990,1147,9,9,7953,738,34,1,1,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,70,79,4
31,704,88,1397,0,1123,-800,10,-26,-36,-195,145,900,1924,-292,322,1924,953,1148,10,10,9324,665,31,1,1,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,70,79,4
32,712,89,1397,0,1123,-800,10,-26,-36,-211,161,900,1924,-302,322,1924,916,1148,11,11,9324,665,31,1,1,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,70,79,4
33,720,90,1397,0,1123,-800,16,-46,-62,-244,193,900,1924,-313,322,1924,916,1148,12,12,8026,627,29,1,1,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,70,79,4
34,728,91,1397,0,1123,-800,16,-46,-62,-277,226,900,1924,-318,322,1924,881,1142,13,13,8026,627,29,1,1,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,70,79,4
35,736,92,1397,0,1123,-800,16,-46,-62,-293,242,900,1924,-319,322,1924,841,1140,14,14,8026,627,29,1,1,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,70,79,4
36,744,93,1397,0,1120,-798,14,-58,-72,-326,275,900,1919,-326,322,1919,808,1142,15,15,7973,721,33,1,1,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,70,79,4
37,752,94,1397,0,1107,-784,14,-58,-72,-344,293,900,1891,-335,322,1891,787,1129,16,16,7973,721,33,1,1,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,70,79,4
38,760,95,1397,0,1100,-777,6,-64,-70,-378,327,900,1877,-340,322,1877,787,1129,17,17,7994,742,34,1,1,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,70,79,4
39,768,96,1397,0,1039,-716,6,-64,-70,-418,368,900,1755,-380,322,1755,762,1106,18,18,7994,742,34,1,1,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,70,79,4
40,776,97,1397,0,1058,-735,6,-64,-70,-436,385,900,1793,-367,322,1793,741,1091,19,19,7994,742,34,1,1,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,70,79,4
41,784,98,1397,0,1082,-759,-10,-58,-48,-469,419,900,1841,-352,322,1841,741,1091,20,20,8299,789,37,1,1,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,70,79,4
42,792,99,1397,0,1090,-767,-10,-58,-48,-486,436,900,1857,-346,322,1857,741,1091,21,21,8299,789,37,1,1,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,70,79,4
43,800,100,1397,0,1156,-833,-18,-56,-38,-520,470,900,1990,-337,322,1990,741,1091,22,22,8313,893,42,1,1,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,70,79,4
44,808,101,1397,0,1119,-796,-18,-56,-38,-558,508,900,1915,-361,322,1915,691,1093,23,23,8313,893,42,1,1,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,70,79,4
45,816,102,1397,0,1118,-795,-18,-56,-38,-576,526,900,1914,-362,322,1914,688,1077,24,24,8313,893,42,1,1,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,70,79,4
46,824,103,1397,0,1111,-788,-24,-50,-26,-614,563,900,1899,-368,322,1899,681,1052,25,25,9696,973,46,1,1,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,70,79,4
47,832,104,1397,0,1097,-774,-24,-50,-26,-634,583,900,1872,-377,322,1872,681,1052,26,26,9696,973,46,1,1,3,1,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,70,79,4
