seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,battery_x10,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail,turn_mark,hard_enter_ip,hard_enter_tick,pre_seen_frames
0,48,6,2552,2552,2929,-125,2,2,0,5,0,0,0,18,2804,3054,0,0,0,0,3755,1067,119,51,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,96,12,2552,2552,2889,-369,-2,-2,0,26,0,0,0,49,2520,3259,85,74,0,0,3989,1073,119,51,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,144,18,2552,2552,2661,87,-6,-6,0,22,0,0,0,-24,2748,2573,543,531,0,0,5665,1036,119,49,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3,192,24,2552,2552,2559,147,-4,-4,0,0,0,0,0,-36,2706,2412,720,761,0,0,6910,1042,119,50,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
4,240,30,2552,2552,2434,-307,-8,-8,0,17,0,0,0,3,2127,2742,997,982,0,0,3624,958,119,46,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
5,288,36,2552,2552,2368,-225,-8,-6,2,-6,0,0,0,-19,2143,2593,1098,1148,0,0,3557,898,119,43,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
6,336,42,1018,1450,285,-270,-10,-10,0,-15,0,0,0,0,14,556,1194,1235,1,0,3651,779,119,37,0,1,1,1,0,38,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,1
7,344,43,1450,1450,1305,-301,-10,-10,0,-15,0,0,0,1,1004,1607,1208,1236,2,0,3651,779,119,37,0,1,1,1,0,38,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,2
8,352,44,1450,1450,1161,-123,-10,-10,0,-18,3,0,0,-22,1038,1284,1208,1236,3,0,3651,779,119,37,0,1,1,1,0,38,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,3
9,360,45,1450,1450,1157,-40,-10,-12,-2,-22,7,0,0,-39,1116,1197,1221,1241,4,0,8156,760,119,35,0,1,1,1,0,38,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,4
10,368,46,1450,1450,1147,87,-10,-12,-2,-29,14,0,0,-58,1234,1059,1242,1260,5,0,8156,760,119,35,0,1,1,1,0,38,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,5
11,376,47,1450,1450,1150,89,-10,-12,-2,-35,20,0,0,-60,1240,1061,1227,1260,6,0,7696,649,119,30,0,1,1,1,0,38,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,6
12,384,48,1450,1450,1161,54,-10,-12,-2,-38,23,0,0,-56,1216,1107,1200,1243,7,0,7696,649,119,30,0,1,1,1,0,38,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,7
13,392,49,1450,1450,1161,-159,-10,-12,-2,-39,24,0,0,-29,1001,1321,1200,1243,8,0,7029,649,119,30,0,1,1,1,0,38,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,8
14,400,50,1450,1450,842,-1022,-8,-18,-10,-39,0,800,1865,-18,-180,1865,1159,1221,9,1,7029,2771,119,24,0,1,3,1,18,38,18,0,0,0,0,0,1,0,0,0,62,3,39,28,88,7,5,18,50,8
15,408,51,1450,1450,842,-1022,-8,-18,-10,-40,1,800,1865,-16,-180,1865,1132,1193,10,2,7029,2771,119,24,0,1,3,1,62,38,18,0,0,0,0,0,1,0,0,0,62,3,39,28,88,7,0,18,50,8
16,416,52,1450,1450,842,-1022,-8,0,8,-51,11,800,1865,-74,-180,1865,1132,1193,11,3,6701,2810,119,19,0,1,3,1,74,38,18,0,0,0,0,0,1,0,1,0,74,9,45,29,89,7,0,18,50,8
17,424,53,1450,1450,842,-1022,-8,0,8,-61,21,800,1865,-116,-180,1865,1132,1193,12,4,6701,2810,119,19,0,1,3,1,74,38,18,0,0,0,0,0,1,0,1,0,74,9,45,29,89,7,0,18,50,8
18,432,54,1450,1450,842,-1022,-8,0,8,-84,44,800,1865,-183,-180,1865,1132,1193,13,5,6701,2810,119,19,0,1,3,1,74,38,18,0,0,0,0,0,1,0,1,0,74,9,45,29,89,7,2,18,50,8
19,440,55,1450,1450,842,-1022,-12,0,12,-97,57,800,1865,-209,-180,1865,1082,1121,14,6,7771,1067,119,13,0,1,3,1,88,38,18,0,0,0,0,0,1,0,0,0,88,16,52,33,93,7,0,18,50,8
20,448,56,1450,1450,842,-1022,-12,0,12,-123,84,800,1865,-240,-180,1865,1017,1104,15,7,7771,1067,119,13,0,1,3,1,88,38,18,0,0,0,0,0,1,0,0,0,88,16,52,33,93,7,0,18,50,8
21,456,57,1450,1450,842,-1022,-28,0,28,-153,113,800,1865,-275,-180,1865,944,1099,16,8,6060,949,119,7,0,1,3,1,102,38,18,0,0,0,0,0,1,0,0,0,102,23,59,33,93,7,0,18,50,8
22,464,58,1450,1450,842,-1022,-28,0,28,-169,129,800,1865,-290,-180,1865,944,1099,17,9,6060,949,119,7,0,1,3,1,102,38,18,0,0,0,0,0,1,0,0,0,102,23,59,33,93,7,0,18,50,8
23,472,59,1450,1450,850,-1030,-28,0,28,-204,164,800,1881,-324,-180,1881,864,1099,18,10,5255,949,118,7,0,1,3,1,102,38,18,0,0,0,0,0,1,0,0,0,102,23,59,33,93,7,0,18,50,8
24,480,60,1450,1450,963,-963,-44,0,44,-223,183,800,1926,-345,0,1926,785,1104,19,11,5255,3973,118,2,0,1,3,1,108,38,18,0,0,0,0,0,1,0,0,0,108,23,59,33,93,7,0,18,50,8
25,488,61,1450,1450,915,-915,-44,0,44,-263,223,800,1831,-376,0,1831,721,1088,20,12,5255,3973,118,2,0,1,3,1,108,38,18,0,0,0,0,0,1,0,0,0,108,23,59,33,93,7,0,18,50,8
26,496,62,1450,1450,879,-879,-60,0,60,-305,265,800,1759,-399,0,1759,703,1069,21,13,5695,4767,118,4,0,1,3,1,110,38,18,0,0,0,0,0,1,0,0,0,110,23,59,33,93,7,0,18,50,8
27,504,63,1450,1450,886,-886,-60,0,60,-324,284,800,1773,-395,0,1773,703,1069,22,14,5695,4767,118,4,0,1,3,1,110,38,18,0,0,0,0,0,1,0,0,0,110,23,59,33,93,7,0,18,50,8
28,512,64,1450,1450,762,-762,-60,0,60,-367,327,800,1525,-411,0,1525,673,1048,23,15,5477,4767,118,4,0,1,3,1,110,38,18,0,0,0,0,0,1,0,0,0,110,23,59,33,93,7,0,18,50,8
