seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,battery_x10,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail,turn_mark,hard_enter_ip,hard_enter_tick,pre_seen_frames
0,48,6,2552,2552,2928,-282,4,2,-2,-3,0,0,0,40,2645,3210,3,3,0,0,3710,1066,120,51,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,96,12,2552,2552,2804,-67,-2,-2,0,17,0,0,0,11,2737,2872,278,222,0,0,3591,1054,120,50,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,144,18,2552,2552,2662,326,-2,-2,0,1,0,0,0,-47,2988,2335,536,533,0,0,3594,1023,119,49,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3,192,24,2552,2552,2573,-147,-4,-4,0,26,0,0,0,22,2425,2721,686,739,0,0,5525,1022,119,48,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
4,240,30,2552,2552,2431,-320,-8,-8,0,22,0,0,0,9,2111,2752,976,1015,0,0,6990,929,119,44,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
5,288,36,2552,2552,2374,-102,-12,-10,2,13,0,0,0,-51,2272,2477,1099,1120,0,0,3665,839,119,40,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
6,320,40,2552,0,1126,-804,-14,-16,-2,-4,0,850,1930,-49,322,1930,1167,1219,1,1,3626,760,119,36,1,0,3,1,58,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,58,40,0
7,328,41,2552,0,1126,-804,-14,-16,-2,-6,2,850,1930,-46,322,1930,1184,1251,2,2,3626,760,119,36,1,0,3,1,58,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,40,0
8,336,42,2552,0,1126,-804,-14,-16,-2,-14,10,850,1930,-70,322,1930,1184,1251,3,3,3626,760,119,36,1,0,3,1,58,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,40,0
9,344,43,2552,0,1126,-804,-14,-14,0,-21,17,850,1930,-94,322,1930,1204,1264,4,4,7815,696,119,32,1,1,3,1,58,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,58,40,0
10,352,44,2552,0,1126,-804,-14,-14,0,-38,33,850,1930,-136,322,1930,1224,1274,5,5,7815,696,119,32,1,1,3,1,58,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,58,40,0
11,360,45,2552,0,1126,-804,-12,-24,-12,-59,55,850,1930,-182,322,1930,1227,1284,6,6,8816,603,119,27,1,1,3,1,58,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,58,40,0
12,368,46,2552,0,1126,-804,-12,-24,-12,-70,66,850,1930,-197,322,1930,1185,1302,7,7,8816,603,119,27,1,1,3,1,58,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,58,40,0
13,376,47,2552,0,1126,-804,-12,-24,-12,-95,91,850,1930,-231,322,1930,1185,1302,8,8,6961,603,119,27,1,1,3,1,58,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,58,40,0
14,384,48,2552,0,1126,-804,-8,-36,-28,-108,104,850,1930,-239,322,1930,1143,1299,9,9,6961,1383,119,23,1,1,3,1,66,38,18,0,0,0,0,0,0,0,0,0,66,5,41,33,93,7,0,58,40,0
15,392,49,2552,0,1126,-804,-8,-36,-28,-136,131,850,1930,-260,322,1930,1101,1286,10,10,6961,1383,119,23,1,1,3,1,66,38,18,0,0,0,0,0,0,0,0,0,66,5,41,33,93,7,0,58,40,0
16,400,50,2552,0,1126,-804,0,-16,-16,-163,159,850,1930,-271,322,1930,1101,1286,11,11,6758,2834,119,17,4,1,3,1,78,38,18,0,0,0,0,0,0,0,4,0,78,11,47,30,90,7,0,58,40,0
17,408,51,2552,0,1126,-804,0,-16,-16,-178,174,850,1930,-280,322,1930,1101,1286,12,12,6758,2834,119,17,4,1,3,1,78,38,18,0,0,0,0,0,0,0,4,0,78,11,47,30,90,7,0,58,40,0
18,416,52,2552,0,1126,-804,-16,0,16,-206,202,850,1930,-281,322,1930,1101,1286,13,13,6647,395,119,15,4,1,3,1,90,38,18,0,0,0,0,0,0,0,4,0,90,11,47,30,90,7,0,58,40,0
19,424,53,2552,0,1126,-804,-16,0,16,-221,217,850,1930,-287,322,1930,996,1267,14,14,6647,395,119,15,4,1,3,1,90,38,18,0,0,0,0,0,0,0,4,0,90,11,47,30,90,7,0,58,40,0
20,432,54,2552,0,1126,-804,-16,0,16,-253,249,850,1930,-304,322,1930,957,1240,15,15,6647,395,119,15,4,1,3,1,90,38,18,0,0,0,0,0,0,0,4,0,90,11,47,30,90,7,0,58,40,0
21,440,55,2552,0,1126,-804,-32,0,32,-282,278,850,1930,-296,322,1930,921,1213,16,16,5985,3076,119,9,4,1,3,1,94,38,18,0,0,0,0,0,0,0,4,0,94,11,47,30,90,7,0,58,40,0
22,448,56,2552,0,1126,-804,-32,0,32,-299,294,850,1930,-311,322,1930,921,1213,17,17,5985,3076,119,9,4,1,3,1,94,38,18,0,0,0,0,0,0,0,4,0,94,11,47,30,90,7,0,58,40,0
