seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,battery_x10,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail,turn_mark,hard_enter_ip,hard_enter_tick,pre_seen_frames
0,48,6,2552,2552,2926,-113,8,8,0,12,0,0,0,42,2813,3040,5,6,0,0,3602,1074,121,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,96,12,2552,2552,2792,-261,2,2,0,43,0,0,0,51,2530,3054,299,249,0,0,4118,995,121,48,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,144,18,2552,2552,2664,86,0,0,0,43,0,0,0,-8,2751,2577,539,521,0,0,4054,1073,121,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3,192,24,2552,2552,2520,227,0,0,0,35,0,0,0,-26,2748,2293,805,831,0,0,3579,1055,121,51,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
4,240,30,2552,2552,2414,-488,0,0,0,42,0,0,0,67,1925,2902,1004,1057,0,0,7015,1003,121,49,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
5,288,36,2552,2552,2358,156,-4,-4,0,41,0,0,0,-24,2514,2201,1163,1123,0,0,3776,1074,121,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
6,336,42,2552,2552,2311,-84,-8,-6,2,44,0,0,0,-8,2227,2395,1241,1232,0,0,3990,1015,121,49,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,384,48,2552,2552,2274,-84,-8,-6,2,36,0,0,0,-31,2190,2358,1309,1311,0,0,3927,1027,120,49,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
8,432,54,2552,2552,2250,-157,-8,-6,2,24,0,0,0,-24,2092,2407,1345,1372,0,0,3862,1015,120,49,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,480,60,2552,2552,2242,-194,-8,-4,4,9,0,0,0,-19,2048,2436,1356,1393,0,0,7073,885,120,43,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
