seq,t_ms,pid_tick,base_speed,speed_plan,speed_out,steer_out,err,lookahead,trend,yaw10,ra_yaw10,ra_hard_target10,ra_outer_cmd,yaw_rate_dps,duty_left,duty_right,left_speed,right_speed,ra_timer,ra_hard_cnt,tf_us,inter_us,valid_rows,ra_flag,ra_pre,ra_phase,ra_dir,ra_ip_row,ra_slow_row,ra_turn_row,ra_exit_reason,route_step,route_flag,route_action,post_edge_side,speed_reason,line_lost,inter_type,sym_component,ip_max_row,box_top,box_bottom,box_left,box_right,pre_detail
437,5176,647,800,1500,0,0,12,10,-2,1564,0,0,0,43,0,0,1007,980,1,0,3823,649,23,5,0,2,2,66,70,44,0,8,5,2,0,1,0,5,0,66,5,41,11,71,0
438,5184,648,1500,1500,1502,71,12,10,-2,1567,2,0,0,32,1573,1430,1019,980,2,0,3823,649,23,5,0,2,2,66,70,44,0,8,5,2,0,1,0,5,0,66,5,41,11,71,0
439,5192,649,1500,1500,677,512,12,10,-2,1569,4,900,1189,37,1189,165,1031,984,3,1,3823,649,23,5,0,3,2,66,70,44,0,8,5,2,0,1,0,5,0,66,5,41,11,71,0
440,5200,650,1500,1500,1429,1098,12,0,-12,1571,6,900,2528,25,2528,331,1025,983,4,2,6379,100,17,5,0,3,2,78,70,44,0,8,5,2,0,1,0,5,1,78,5,41,11,71,0
441,5208,651,1500,1500,1429,1098,12,0,-12,1575,10,900,2528,44,2528,331,1025,983,5,3,6379,100,17,5,0,3,2,78,70,44,0,8,5,2,0,1,0,5,0,78,5,41,11,71,0
442,5216,652,1500,1500,1429,1098,10,0,-10,1591,26,900,2528,115,2528,331,1003,981,6,4,7250,91,11,5,0,3,2,90,70,44,0,8,5,2,0,1,0,5,1,90,5,41,11,71,0
443,5224,653,1500,1500,1327,996,10,0,-10,1615,50,900,2324,191,2324,331,966,957,7,5,7250,91,11,5,0,3,2,90,70,44,0,8,5,2,0,1,0,5,1,90,5,41,11,71,0
444,5232,654,1500,1500,1266,935,-2,0,2,1630,65,900,2201,230,2201,331,972,939,8,6,5279,75,5,5,0,3,2,102,70,44,0,8,5,2,0,1,0,5,1,102,5,41,11,71,0
445,5240,655,1500,1500,1169,838,-2,0,2,1664,99,900,2008,292,2008,331,981,890,9,7,5279,75,5,5,0,3,2,102,70,44,0,8,5,2,0,1,0,5,1,102,5,41,11,71,0
446,5248,656,1500,1500,1137,806,-2,0,2,1681,117,900,1943,313,1943,331,981,890,10,8,5279,75,5,5,0,3,2,102,70,44,0,8,5,2,0,1,0,5,0,102,5,41,11,71,0
447,5256,657,1500,1500,1098,767,0,0,0,1717,153,900,1866,338,1866,331,1003,836,11,9,5024,19,0,5,0,3,2,102,70,44,0,8,5,2,0,1,1,5,0,102,5,41,11,71,0
448,5264,658,1500,1500,1074,743,0,0,0,1753,188,900,1817,354,1817,331,1022,784,12,10,5024,19,0,5,0,3,2,102,70,44,0,8,5,2,0,1,1,5,0,102,5,41,11,71,0
449,5272,659,1500,1500,1026,695,0,0,0,1775,211,900,1721,385,1721,331,1023,743,13,11,4907,19,0,5,0,3,2,102,70,44,0,8,5,2,0,1,1,5,0,102,5,41,11,71,0
450,5280,660,1500,1500,1025,694,0,0,0,-1785,249,900,1720,385,1720,331,1031,713,14,12,4907,19,0,5,0,3,2,102,70,44,0,8,5,2,0,1,1,5,0,102,5,41,11,71,0
451,5288,661,1500,1500,1020,689,0,0,0,-1765,269,900,1710,388,1710,331,1031,713,15,13,4907,19,0,5,0,3,2,102,70,44,0,8,5,2,0,1,1,5,0,102,5,41,11,71,0
452,5296,662,1500,1500,1005,674,0,0,0,-1725,310,900,1679,398,1679,331,1035,682,16,14,5043,19,0,5,0,3,2,102,70,44,0,8,5,2,0,1,1,5,0,102,5,41,11,71,0
453,5304,663,1500,1500,1028,697,0,0,0,-1688,347,900,1725,383,1725,331,1037,672,17,15,5043,19,0,5,0,3,2,102,70,44,0,8,5,2,0,1,1,5,0,102,5,41,11,71,0
454,5312,664,1500,1500,1034,703,0,0,0,-1669,365,900,1737,380,1737,331,1030,655,18,16,4912,19,0,5,0,3,2,102,70,44,0,8,5,2,0,1,1,5,0,102,5,41,11,71,0
455,5320,665,1500,1500,1043,712,0,0,0,-1632,402,900,1755,374,1755,331,1030,655,19,17,4912,19,0,5,0,3,2,102,70,44,0,8,5,2,0,1,1,5,0,102,5,41,11,71,0
456,5328,666,1500,1500,1046,715,0,0,0,-1614,420,900,1761,372,1761,331,1005,628,20,18,4912,19,0,5,0,3,2,102,70,44,0,8,5,2,0,1,1,5,0,102,5,41,11,71,0
457,5336,667,1500,1500,1024,693,0,0,0,-1574,460,900,1718,386,1718,331,976,609,21,19,6397,19,0,5,0,3,2,102,70,44,0,8,5,2,0,1,1,5,0,102,5,41,11,71,0
458,5344,668,1500,1500,1014,683,0,0,0,-1534,500,900,1698,392,1698,331,960,586,22,20,6397,19,0,5,0,3,2,102,70,44,0,8,5,2,0,1,1,5,0,102,5,41,11,71,0
459,5352,669,1500,1500,1015,684,0,0,0,-1515,520,900,1699,392,1699,331,951,569,23,21,6397,19,0,5,0,3,2,102,70,44,0,8,5,2,0,1,1,5,0,102,5,41,11,71,0
460,5360,670,1500,1500,1017,686,88,0,-88,-1475,559,900,1704,390,1704,331,951,569,24,22,5959,3266,10,5,1,3,2,102,70,44,0,8,5,2,0,1,0,5,0,102,5,41,11,71,11
